"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang W.; Fu J.; Fu Y.; Zhou J.; Han X.","Zhang, Wensen (57204606805); Fu, Jian (57072848300); Fu, Yongling (7404433822); Zhou, Jinlin (57272323700); Han, Xudong (57208881478)","57204606805; 57072848300; 7404433822; 57272323700; 57208881478","System performance analysis for trimmable horizontal stabilizer actuator focusing on nonlinear effects: Based on incremental modelling and parameter identification methodology","2021","Sensors","21","19","6464","","","","1","10.3390/s21196464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115799470&doi=10.3390%2fs21196464&partnerID=40&md5=7cc184c00ff819ccd85869cc3b6a1360","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85115799470"
"Lei Y.; Li M.; Sun Y.; Li M.","Lei, Yongfu (57210971263); Li, Ming (57202686983); Sun, Yanguo (55234997900); Li, Mingshui (27170498600)","57210971263; 57202686983; 55234997900; 27170498600","Experimental Study on Flutter Performance of Long-Span Suspension Bridge with Double-Deck Truss Girder; [大跨度双层桁架梁悬索桥颤振性能试验研究]","2022","Xinan Jiaotong Daxue Xuebao/Journal of Southwest Jiaotong University","57","6","","1224","1232","8","1","10.3969/j.issn.0258-2724.20200599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146258559&doi=10.3969%2fj.issn.0258-2724.20200599&partnerID=40&md5=df5718ba802bb50c9002fe9a9cb2d54e","Article","Final","","Scopus","2-s2.0-85146258559"
"Fu J.; Zheng C.; Mare J.-C.; Zhang W.","Fu, Jian (57072848300); Zheng, Chaoqun (57314531300); Mare, Jean-Charles (6603331912); Zhang, Wensen (57204606805)","57072848300; 57314531300; 6603331912; 57204606805","VIRTUAL PROTOTYPING OF ELECTRICAL THSA FOCUSED ON MECHANICAL POWER TRANSMISSION FUNCTIONS","2021","32nd Congress of the International Council of the Aeronautical Sciences, ICAS 2021","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124476134&partnerID=40&md5=dfddaf125160524e3a61ccbda45fcbc7","Conference paper","Final","","Scopus","2-s2.0-85124476134"
"Corcione S.; Cusati V.; Memmolo V.; Nicolosi F.; Llamas Sandin R.","Corcione, Salvatore (55756025900); Cusati, Vincenzo (56418615000); Memmolo, Vittorio (56429748200); Nicolosi, Fabrizio (8719508800); Llamas Sandin, Raul (56032718000)","55756025900; 56418615000; 56429748200; 8719508800; 56032718000","Impact at aircraft level of elastic efficiency of a forward-swept tailplane","2023","Aerospace Science and Technology","140","","108461","","","","0","10.1016/j.ast.2023.108461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163806699&doi=10.1016%2fj.ast.2023.108461&partnerID=40&md5=3abec6d49509b7ddf0e01ba98b9c6c3d","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85163806699"
"Zhou J.; Fu J.; Zhang W.","Zhou, Jinlin (57272323700); Fu, Jian (57072848300); Zhang, Wensen (57204606805)","57272323700; 57072848300; 57204606805","Development of No-Back Mechanism Models for Electrical THSA Based on Experimental Study","2023","Lecture Notes in Electrical Engineering","913","","","507","520","13","0","10.1007/978-981-19-2635-8_37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140478668&doi=10.1007%2f978-981-19-2635-8_37&partnerID=40&md5=ba414e258a016aceeb186a80bb4cdd55","Conference paper","Final","","Scopus","2-s2.0-85140478668"
"Bailey J.R.; Lathi H.; Tenny M.J.; Payette G.S.; Wang L.","Bailey, Jeffrey R. (7404350728); Lathi, Harshit (57214911641); Tenny, Matthew J. (6506976247); Payette, Gregory S. (23012428800); Wang, Lei (57875744800)","7404350728; 57214911641; 6506976247; 23012428800; 57875744800","BHA lateral vibration chatter impedes application of weight to bit","2020","SPE/IADC Drilling Conference, Proceedings","2020-March","","","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081697883&partnerID=40&md5=f9ae1a0379e1624eee2390a3bec2bb28","Conference paper","Final","","Scopus","2-s2.0-85081697883"
"Han X.; Ma J.; Fu J.; Yu L.; Zhang W.; Fu Y.","Han, Xudong (57208881478); Ma, Junsheng (57211200798); Fu, Jian (57072848300); Yu, Liming (57192545085); Zhang, Wensen (57204606805); Fu, Yongling (7404433822)","57208881478; 57211200798; 57072848300; 57192545085; 57204606805; 7404433822","Modelling and Simulation of an Electric Trimmable Horizontal Stabilizer Actuator Based on Bond Graph","2020","Lecture Notes in Electrical Engineering","594","","","417","425","8","1","10.1007/978-981-32-9698-5_47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072987238&doi=10.1007%2f978-981-32-9698-5_47&partnerID=40&md5=871ab04a20d3c090dfd2e068f1113bf5","Conference paper","Final","","Scopus","2-s2.0-85072987238"
"Youdas J.W.; Kleis M.; Krueger E.T.; Thompson S.; Walker W.A.; Hollman J.H.","Youdas, James W. (6602465916); Kleis, Mary (57219030381); Krueger, Erik T. (57219022687); Thompson, Stephen (57219029184); Walker, Whitney A. (57219025236); Hollman, John H. (8572140100)","6602465916; 57219030381; 57219022687; 57219029184; 57219025236; 8572140100","Recruitment of Shoulder Complex and Torso Stabilizer Muscles With Rowing Exercises Using a Suspension Strap Training System","2021","Sports Health","13","1","","85","90","5","1","10.1177/1941738120945986","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091090359&doi=10.1177%2f1941738120945986&partnerID=40&md5=525c5ab4abb393aaf6f781393bdabf2e","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85091090359"
"Li F.; Deng D.; Wadden A.; Parvis P.; Cutt D.; Li M.","Li, Fei (57200033164); Deng, Daiyong (7102028051); Wadden, Andrew (58475002000); Parvis, Patricia (58475002100); Cutt, Diana (56052706000); Li, Mengyan (55846377500)","57200033164; 7102028051; 58475002000; 58475002100; 56052706000; 55846377500","Effective removal of trace 1,4-dioxane by biological treatments augmented with propanotrophic single culture versus synthetic consortium","2023","Journal of Hazardous Materials Advances","9","","100246","","","","2","10.1016/j.hazadv.2023.100246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164071431&doi=10.1016%2fj.hazadv.2023.100246&partnerID=40&md5=9dc3f6161cc8b139279c6c022cffea2b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164071431"
"Huang L.; Liao H.; Wang Q.; Li Q.; Li Z.","Huang, Lin (57196687794); Liao, Haili (7201506745); Wang, Qi (57202156230); Li, Qiang (58463781400); Li, Zhiguo (57202877045)","57196687794; 7201506745; 57202156230; 58463781400; 57202877045","Flutter stability optimization of a 2 300 m super long-span flat steel box girder suspension bridge; [2 300 m 超大跨度扁平钢箱梁悬索桥颤振稳定性优化研究]","2022","Zhendong yu Chongji/Journal of Vibration and Shock","41","14","","210","217","7","1","10.13465/j.cnki.jvs.2022.14.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141528521&doi=10.13465%2fj.cnki.jvs.2022.14.028&partnerID=40&md5=bb9583c40b14afde0616b63e841d2745","Article","Final","","Scopus","2-s2.0-85141528521"
"Laban B.; Ralević U.; Petrović S.; Leskovac A.; Vasić-Anićijević D.; Marković M.; Vasić V.","Laban, B. (55936628100); Ralević, U. (55203603100); Petrović, S. (7101905847); Leskovac, A. (9133794800); Vasić-Anićijević, D. (55886200800); Marković, M. (8834292100); Vasić, V. (7003450648)","55936628100; 55203603100; 7101905847; 9133794800; 55886200800; 8834292100; 7003450648","Green synthesis and characterization of nontoxic L-methionine capped silver and gold nanoparticles","2020","Journal of Inorganic Biochemistry","204","","110958","","","","27","10.1016/j.jinorgbio.2019.110958","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076247598&doi=10.1016%2fj.jinorgbio.2019.110958&partnerID=40&md5=ac413e90598906ebe18e25785c15982e","Article","Final","","Scopus","2-s2.0-85076247598"
"Tang S.; Wang W.","Tang, Sihao (58404696000); Wang, Weiping (55713904100)","58404696000; 55713904100","Left multiplication operators on the Riordan group","2023","Advances in Applied Mathematics","151","","102574","","","","0","10.1016/j.aam.2023.102574","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163511228&doi=10.1016%2fj.aam.2023.102574&partnerID=40&md5=0847f372acc597393837cf07fdf90f2e","Article","Final","","Scopus","2-s2.0-85163511228"
"Xu S.; Fang G.; Zhao L.; Ge Y.; Zhang J.","Xu, Shengyi (57338609900); Fang, Genshen (57189986856); Zhao, Lin (54967675500); Ge, Yaojun (8727123700); Zhang, Junfeng (55247899200)","57338609900; 57189986856; 54967675500; 8727123700; 55247899200","Aerodynamic and Aerostatic Performance of a Long-Span Bridge with Wide Single Box Girder Installed with Vertical and Horizontal Stabilizers","2023","Journal of Structural Engineering (United States)","149","8","04023106","","","","0","10.1061/JSENDH.STENG-11925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161436982&doi=10.1061%2fJSENDH.STENG-11925&partnerID=40&md5=0f7cd53aeefb3212f007c9c6e2ee1cba","Article","Final","","Scopus","2-s2.0-85161436982"
"Lorber P.F.; Zhao J.; Bowles P.; Xin H.","Lorber, Peter F. (6603835102); Zhao, Jinggen (7410312446); Bowles, Patrick (36663364300); Xin, Hong (58333283200)","6603835102; 7410312446; 36663364300; 58333283200","S-97 RAIDER® wake-empennage interaction flight data and correlation","2021","77th Annual Vertical Flight Society Forum and Technology Display, FORUM 2021: The Future of Vertical Flight","","","","","","","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108940419&partnerID=40&md5=9afa86fb217fea070f444a6257b3120c","Conference paper","Final","","Scopus","2-s2.0-85108940419"
"Nakajima R.; Ikuta T.; Oguri K.; Ritchie H.","Nakajima, Ryota (15757977700); Ikuta, Tetsuro (7102439299); Oguri, Kazumasa (7101879700); Ritchie, Heather (55831627100)","15757977700; 7102439299; 7101879700; 55831627100","Occurrence of polybrominated diphenyl ethers and benzotriazole UV stabilizers in the hadal amphipod Hirondellea gigas","2023","iScience","26","7","107054","","","","1","10.1016/j.isci.2023.107054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162097871&doi=10.1016%2fj.isci.2023.107054&partnerID=40&md5=950265c87b756387a0093a21e637f881","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85162097871"
"Nguyen K.-L.; Mahjoub M.; Dao N.-H.; Menand S.","Nguyen, Khac-Long (56023768800); Mahjoub, Mohamed (57207880549); Dao, Ngoc-Ha (57201314037); Menand, Stéphane (7801636116)","56023768800; 57207880549; 57201314037; 7801636116","Detailed Dynamics Modeling Helps to Assess the Effect of Stabilizer Design on Drill String Vibrations","2023","SPE - International Association of Drilling Contractors Drilling Conference Proceedings","","","","","","","0","10.2118/212549-MS","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151334505&doi=10.2118%2f212549-MS&partnerID=40&md5=299bde85be33331129c5676baec6f6e0","Conference paper","Final","","Scopus","2-s2.0-85151334505"
"Meng X.; Sun Y.; Yu J.; Tang Z.; Liu J.; Suo T.; Li Y.","Meng, Xianghao (57205152839); Sun, Yingjun (57205158263); Yu, Jingyu (57205154648); Tang, Zhongbin (7403300043); Liu, Jun (55597047100); Suo, Tao (16835790000); Li, Yulong (55886096600)","57205152839; 57205158263; 57205154648; 7403300043; 55597047100; 16835790000; 55886096600","Dynamic response of the horizontal stabilizer during UAS airborne collision","2019","International Journal of Impact Engineering","126","","","50","61","11","30","10.1016/j.ijimpeng.2018.11.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058854649&doi=10.1016%2fj.ijimpeng.2018.11.015&partnerID=40&md5=c3faafaeb3932d69c2c1328a54846bc1","Article","Final","","Scopus","2-s2.0-85058854649"
"Buğday B.; Saetti U.","Buğday, Batın (58532994200); Saetti, Umberto (57192229769)","58532994200; 57192229769","Active Reduction of Unsteady Rotor Noise via Redundant Control Allocation","2023","FORUM 2023 - Vertical Flight Society 79th Annual Forum and Technology Display","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167706387&partnerID=40&md5=2f2ee25e1dc7f30f767e3bd665b8b2ec","Conference paper","Final","","Scopus","2-s2.0-85167706387"
"Marioni T.D.R.; Legras G.; Link S.; Embacher M.","Marioni, T. Dos Reis (57223083871); Legras, G. (36486602000); Link, S. (56963608800); Embacher, M. (6506238241)","57223083871; 36486602000; 56963608800; 6506238241","Phantom blade model- A dvanced methodology for actuator disk modeling","2019","45th European Rotorcraft Forum 2019, ERF 2019","1","","","188","201","13","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104786146&partnerID=40&md5=55679d46bf276679a998665bbd867c36","Conference paper","Final","","Scopus","2-s2.0-85104786146"
