"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Grimshaw A.; Oyekan J.","Grimshaw, Alex (57222317653); Oyekan, John (35180089600)","57222317653; 35180089600","Applying Deep Reinforcement Learning to Cable Driven Parallel Robots for Balancing Unstable Loads: A Ball Case Study","2021","Frontiers in Robotics and AI","7","","611203","","","","5","10.3389/frobt.2020.611203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102250609&doi=10.3389%2ffrobt.2020.611203&partnerID=40&md5=613cfdd83de4965e19f0c8d73ba248f7","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85102250609"
"Sankhyan S.B.; Wadhwa G.K.","Sankhyan, Shashi Bhushan (57205633006); Wadhwa, Gunchita Kaur (57202017593)","57205633006; 57202017593","A Comparison Between PID and LQR Controllers for Stabilization of a Ball Balancing Robot","2023","International Journal of Automation and Smart Technology","13","1","2448","","","","0","10.5875/ausmt.v13i1.2448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169050569&doi=10.5875%2fausmt.v13i1.2448&partnerID=40&md5=31f598af209bab069f9c686216b74734","Article","Final","","Scopus","2-s2.0-85169050569"
"Kopichev M.M.; Putov A.V.; Pashenko A.N.","Kopichev, Michael M (56366878800); Putov, Anton V (56366781300); Pashenko, Anastasia N (57211884643)","56366878800; 56366781300; 57211884643","Ball on the plate balancing control system","2019","IOP Conference Series: Materials Science and Engineering","638","1","012004","","","","2","10.1088/1757-899X/638/1/012004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075229565&doi=10.1088%2f1757-899X%2f638%2f1%2f012004&partnerID=40&md5=ce1b83b1e154e558de9ddbdcdacfebe2","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85075229565"
"Singh R.; Bhushan B.","Singh, Rupam (57211196627); Bhushan, Bharat (55553734465)","57211196627; 55553734465","Improved ant colony optimization for achieving self-balancing and position control for balancer systems","2021","Journal of Ambient Intelligence and Humanized Computing","12","8","","8339","8356","17","8","10.1007/s12652-020-02566-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091732441&doi=10.1007%2fs12652-020-02566-y&partnerID=40&md5=995cb7844268a7a6194ff715ffc8079f","Article","Final","","Scopus","2-s2.0-85091732441"
"Ranganath C.; Annasiwaththa B.","Ranganath, Chathura (58027962900); Annasiwaththa, Buddhika (55602721200)","58027962900; 55602721200","Development of Nonlinear Dynamics Simulator for 2-DOF Ball Balancing Platform to Assist Distance Learning of Control Systems","2022","7th International Conference on Information Technology Research: Digital Resilience and Reinvention, ICITR 2022 - Proceedings","","","","","","","0","10.1109/ICITR57877.2022.9993414","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146417994&doi=10.1109%2fICITR57877.2022.9993414&partnerID=40&md5=b9dde21317671f41ee303b38dc7b9460","Conference paper","Final","","Scopus","2-s2.0-85146417994"
"Shmakova E.G.; Filoretova O.A.; Nikolaeva O.M.; Vasilkin D.P.","Shmakova, Elena G. (57195988981); Filoretova, Olga A. (57459416500); Nikolaeva, Olga M. (57304033200); Vasilkin, Denis P. (57460205700)","57195988981; 57459416500; 57304033200; 57460205700","Neural Network Algorithm for Stabilizing Mechanized Systems","2022","WSEAS Transactions on Applied and Theoretical Mechanics","17","","3","15","20","5","0","10.37394/232011.2022.17.3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124992375&doi=10.37394%2f232011.2022.17.3&partnerID=40&md5=0665efbd2d7eb40a8f020403b84aa43d","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85124992375"
"Khanduja N.; Bhushan B.","Khanduja, Neha (57224004247); Bhushan, Bharat (55553734465)","57224004247; 55553734465","Hybrid State of Matter Search Algorithm and its Application to PID Controller Design for Position Control of Ball Balancer System","2022","Iranian Journal of Science and Technology - Transactions of Electrical Engineering","46","3","","785","804","19","1","10.1007/s40998-022-00506-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131319290&doi=10.1007%2fs40998-022-00506-4&partnerID=40&md5=e8c2788a58a41636fa3026f5ad9c1616","Article","Final","","Scopus","2-s2.0-85131319290"
"Howimanporn S.; Chookaew S.; Chaiyaporn S.","Howimanporn, S. (57200143222); Chookaew, S. (51461056800); Chaiyaporn, S. (57222150793)","57200143222; 51461056800; 57222150793","Experimental and Implementation of Robust Control Via Floating Air Levitation and Balancing Rotary Inverted Pendulum","2021","Journal of Physics: Conference Series","1733","1","012013","","","","1","10.1088/1742-6596/1733/1/012013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101711361&doi=10.1088%2f1742-6596%2f1733%2f1%2f012013&partnerID=40&md5=2a4c76e679c734c5ee4b2adc80c74c3a","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85101711361"
"Chaudhary A.; Bhushan B.","Chaudhary, Abhishek (57225927014); Bhushan, Bharat (55553734465)","57225927014; 55553734465","Self-Balancing and Position Control of a Balancer System Using a Pattern-Based Intelligent Optimization Method","2023","International Journal of Pattern Recognition and Artificial Intelligence","","","2357011","","","","0","10.1142/S0218001423570112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171793775&doi=10.1142%2fS0218001423570112&partnerID=40&md5=dd5fb17dcc4da630db6e7a0ccc3810e3","Article","Article in press","","Scopus","2-s2.0-85171793775"
"Kececi E.; Yumuk E.; Guzelkaya M.; Eksin I.","Kececi, Ertugrul (57215426341); Yumuk, Erhan (57191052788); Guzelkaya, Mujde (6602406428); Eksin, Ibrahim (58416664400)","57215426341; 57191052788; 6602406428; 58416664400","Comparison of Optimal Integer and Fractional Order PID Controllers on a Stabilized Real-Time System","2019","ELECO 2019 - 11th International Conference on Electrical and Electronics Engineering","","","8990408","754","758","4","1","10.23919/ELECO47770.2019.8990408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080899663&doi=10.23919%2fELECO47770.2019.8990408&partnerID=40&md5=9e4af14e8c0be2e20bdf9b25d14fc754","Conference paper","Final","","Scopus","2-s2.0-85080899663"
