"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Performance Enhancement of Magnetic Ball Suspension System Using Hybrid Whale Optimization Algorithm with Simulated Annealing","S. Ekinci; A. Demirören; B. Hekimoğlu; E. Eker","Department of Computer Engineering, Batman University, Batman, Turkey; Department of Electrical Engineering, Istanbul Technical University, Istanbul, Turkey; Department of Electrical & Electronics Engineering, Batman University, Batman, Turkey; Department of Marketing and Advertising, Muş Alparslan University, Muş, Turkey","2019 3rd International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT)","16 Dec 2019","2019","","","1","6","In this study, an efficient tuning method based on hybrid whale optimization algorithm with simulated annealing (WOA-SA) for optimum parameters setting of proportional + integral + derivative (PID) controller for magnetic ball suspension system is presented. High quality solutions can be achieved via WOA-SA algorithm with balanced local and global search capabilities. Comparative analyzes were conducted to evaluate the performance of the WOA-SA tuned PID controller designed to increase the stability profile of the system. The original whale optimization algorithm (WOA) and simulated annealing (SA) algorithm were used for performance comparison of the hybrid algorithm. The graphical and numerical results obtained from the convergence curve, transient response analysis and frequency response analysis showed that the proposed WOA-SA tuned system has a more stable structure. The essence and novelty of this study is the successful implementation of the proposed hybrid algorithm-based controller design procedure to the magnetic ball suspension system.","","978-1-7281-3789-6","10.1109/ISMSIT.2019.8932787","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8932787","Whale optimization algorithm;simulated annealing;hybrid optimization;PID controller design;magnetic ball suspension system","Algorithms;Simulated annealing;Monte Carlo methods;Tuning;Numerical stability;Stability analysis","control system synthesis;frequency response;magnetic levitation;search problems;simulated annealing;stability;suspensions (mechanical components);three-term control;transient response","performance enhancement;magnetic ball suspension system;hybrid whale optimization algorithm;simulated annealing;proportional + integral + derivative controller;local search capabilities;global search capabilities;WOA-SA tuned PID controller;transient response analysis;frequency response analysis;WOA-SA tuned system;hybrid algorithm-based controller design procedure;optimum parameters setting;stability profile;convergence curve","","4","","12","IEEE","16 Dec 2019","","","IEEE","IEEE Conferences"
"Automatic control of ball and beam system using Particle Swarm Optimization","M. A. Rana; Z. Usman; Z. Shareef","Department of Electrical Engineering, Lahore University of Management Sciences, Lahore, Pakistan; Department of Electrical Engineering, Lahore University of Management Sciences, Lahore, Pakistan; Department of Electrical Engineering, Lahore University of Management Sciences, Lahore, Pakistan","2011 IEEE 12th International Symposium on Computational Intelligence and Informatics (CINTI)","22 Dec 2011","2011","","","529","534","Over the last few decades, many evolutionary algorithms have emerged. One such algorithm is Particle Swarm Optimization which emulates social and cognitive behavior of bird-flocks. In this paper, particle swarm optimization algorithm is presented as a robust and highly useful optimization technique to tune the gains of the PID controllers in the two feedback loops of the classic Ball and Beam Control System. As the name implies, Ball and Beam control system tends to balance a ball on a particular position on the beam as defined by the user. Various trials of the algorithm with varying parameters is implemented on the control system and the fitness of the response of the system to a unit step input is used as a criterion for judging the most optimal solution. A slight variation in the fitness value function is also introduced, rather than using conventional performance integrals as a criterion. Furthermore, the results from PSO tuning are quantitatively compared to ITAE equations method of PID tuning and Fuzzy-logic controller to reach a conclusion on the most efficient controlling technique.","","978-1-4577-0045-3","10.1109/CINTI.2011.6108563","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6108563","Particle Swarm optimization;Ball and Beam system;fitness function;ITAE equations;Fuzzy-logic controller","Mathematical model;Equations;Control systems;Tuning;Particle swarm optimization;Birds;Particle beams","beams (structures);cognitive systems;control system synthesis;evolutionary computation;feedback;fuzzy control;particle swarm optimisation;position control;three-term control","automatic ball and beam system control;evolutionary algorithms;bird-flock cognitive behavior;bird-flock social behavior;particle swarm optimization algorithm;optimization technique;PID controllers;feedback loops;fitness value function;PSO tuning;ITAE equations method;fuzzy logic controller;PID tuning","","22","2","20","IEEE","22 Dec 2011","","","IEEE","IEEE Conferences"
"Design and hardware implementation of ball & beam setup","B. Ahmad; I. Hussain","Dept. of Electrical Engineering, University of Engineering and Technology, Lahore Lahore, Pakistan; Dept. of Electrical Engineering, University of Engineering and Technology, Lahore Lahore, Pakistan","2017 Fifth International Conference on Aerospace Science & Engineering (ICASE)","7 Jun 2018","2017","","","1","6","Balancing a ball on beam is the classic control problem just like inverted pendulum. Undergraduate students are used to develop the mathematical models of such classic control problems. In this project we theoretically design the PID controller and implement it on a very cheap and cost effective hardware. PID controller for this project is a dedicated design and implementation of a system which balances a ball at a particular point on a beam using a PID controller. The ball is free to move on the beam in any direction due to force of gravity. Here, the PID controller set the angle of the beam to make sure that the ball gets stable at our specified set point by eradicating the error between the current position and the reference point. The whole system could be implement by employing a servo motor, an ultrasonic distance sensor, a microcontroller and a support assembly. We used “MATLAB R2013a” to draw the theoretical response of multiple controller and “Arduino 1.6.8” to draw the real time response of ball & beam setup. This system is prior edge towards correlating our theoretical concepts with real time experimental environment and helps towards sophisticated system in grasping and development.","","978-1-5386-3601-5","10.1109/ICASE.2017.8374271","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8374271","Ball & Beam Setup;Hardware Ball & Beam;PID Controller Design","Servomotors;Mathematical model;PD control;Real-time systems;Hardware;Acoustics","control system synthesis;mathematics computing;microcontrollers;nonlinear control systems;pendulums;servomotors;three-term control","hardware implementation;PID controller design;mathematical models;gravity force;servo motor;ultrasonic distance sensor;microcontroller;MATLAB;undergraduate students;ball and beam setup","","8","","14","IEEE","7 Jun 2018","","","IEEE","IEEE Conferences"
"Comparison of Optimal Integer and Fractional Order PID Controllers on a Stabilized Real-Time System","E. Keçeci; E. Yumuk; M. Güzelkaya; İ. Eksin","Department of Control and Automation Engineering, Istanbul Technical University, Maslak, Istanbul, Turkey; Department of Control and Automation Engineering, Istanbul Technical University, Maslak, Istanbul, Turkey; Department of Control and Automation Engineering, Istanbul Technical University, Maslak, Istanbul, Turkey; Department of Control and Automation Engineering, Istanbul Technical University, Maslak, Istanbul, Turkey","2019 11th International Conference on Electrical and Electronics Engineering (ELECO)","13 Feb 2020","2019","","","754","758","In this paper, optimal fractional and integer order PID controllers are compared on a stabilized Ball Balancing Table system. The real-time system is restricted on Y-axis and stabilized by using PV controller. Firstly, fractional and integer order system models are obtained from stabilized real-time system. Then, Big Bang-Big Crunch optimization algorithm is used to design optimal fractional and integer order PID controller with ISE performance index as a cost function. In order to avoid from system aggressiveness and high control signal values, maximum sensitivity constraint is utilized. Finally, the performance of the control systems are analyzed via simulations and real-time system applications.","","978-605-01-1275-7","10.23919/ELECO47770.2019.8990408","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8990408","","","control system analysis;control system synthesis;MIMO systems;optimal control;optimisation;performance index;sensitivity analysis;single-input single-output systems (control);stability;three-term control","stabilized real-time system;optimal fractional order PID controller;PV controller;fractional order system models;integer order system models;big bang-big crunch optimization algorithm;system aggressiveness;control signal values;control systems;real-time system applications;stabilized ball balancing table system;controller design;ISE performance index;cost function;sensitivity constraint;control systems performance analysis;two inputs-two outputs system;TITO system;single input-single output system;SISO system;optimal integer order PID controller","","1","","17","","13 Feb 2020","","","IEEE","IEEE Conferences"
"AU ball on plate balancing robot","E. Ali; N. Aphiratsakun","Department of Computer Engineering, Assumption University, Thailand; Faculty of Mechatronics Engineering, Assumption University, Thailand","2015 IEEE International Conference on Robotics and Biomimetics (ROBIO)","25 Feb 2016","2015","","","2031","2034","The ball on plate system is the extension of traditional ball on beam balancing problem in control theory. In this paper the implementation of a proportional-integral-derivative controller (PID controller) to balance a ball on a plate has been demonstrated. To increase the system response time and accuracy multiple controllers are piped through a simple custom serial protocol to boost the processing power, and overall performance. A single HD camera module is used as a sensor to detect the ball's position and two RC servo motors are used to tilt the plate to balance the ball. The result shows that by implementing multiple PUs (Processing Units) redundancy and high resolution can be achieved in real-time control systems.","","978-1-4673-9675-2","10.1109/ROBIO.2015.7419072","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7419072","","Servomotors;PD control;Image processing;Protocols;Cameras;Robots;Mathematical model","beams (structures);motion control;plates (structures);robots;three-term control","AU ball;plate balancing robot;plate system;beam balancing problem;control theory;proportional-integral-derivative controller;PID controller;system response time;serial protocol;single HD camera module;sensor;ball position detection;RC servo motors;processing units redundancy;real-time control systems","","7","","8","IEEE","25 Feb 2016","","","IEEE","IEEE Conferences"
"Pose Optimization of a Single Ball Self-Balancing Mobile Robot Based on IMU and Visual Fusion","S. Jing; Z. Ma; K. Yi; H. Li; Z. Li","Harbin Engineering University, Harbin, China; Fujian Provincial Key Laboratory of Information Processing and Intelligent Control, Minjiang University, Fuzhou, China; Harbin Engineering University, Harbin, China; Harbin Engineering University, Harbin, China; Fujian Provincial Key Laboratory of Information Processing and Intelligent Control, Minjiang University, Fuzhou, China","2018 37th Chinese Control Conference (CCC)","7 Oct 2018","2018","","","2436","2441","The single ball self-balancing mobile robot is a typical multivariable, high-order, nonlinear and static instability system, IMU inertial devices are generally used to obtain attitude parameters of the system. The data errors obtained by the inertial devices will accumulate over time, and the long-term pose estimation is rather unreliable. But for some quick motion over a short period of time, inertial sensors can get very accurate estimates. Monocular cameras are often used as image real-time monitoring sensors by single ball self-balancing mobile robots. The camera's data does not accumulate errors over time, so there is essentially no drift. Therefore, camera pose estimation can effectively correct the inertial sensor error. In a fast-moving environment, the shutter-roller camera cannot capture the image clearly and there may be ghosting or overlapping of two areas too little, resulting in mismatched or unmatched conditions. So that the robot makes a wrong estimate. In this paper, the non-linear optimization method is used to fuse the IMU and monocular attitude data to obtain the optimal pose estimation of the robot. Based on the modeling of robot using Lagrange's equation method, the control of single ball robot is realized by using fuzzy PID algorithm. Experiments show that this scheme can respond quickly to the change of the attitude of the ball self-balancing robot and keep the attitude of the robot relatively stationary, so that the robot can move steadily.","1934-1768","978-988-15639-5-8","10.23919/ChiCC.2018.8483731","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8483731","Ball self-balancing robot;Attitude detection;Nonlicear optimization;Visual inertial data fusion","Mobile robots;Robot kinematics;Cameras;Robot vision systems;Mathematical model","cameras;fuzzy control;inertial navigation;mobile robots;nonlinear programming;pose estimation;robot vision;three-term control","ball self-balancing robot;single ball self-balancing mobile robot;static instability system;IMU inertial devices;long-term pose estimation;inertial sensors;real-time monitoring sensors;inertial sensor error;single ball robot;Pose optimization;camera pose estimation;shutter-roller camera;non-linear optimization;Lagrange's equation method;fuzzy PID algorithm","","1","","22","","7 Oct 2018","","","IEEE","IEEE Conferences"
"Tuning of PID Controller in Magnetic Levitation System Applying Honey Badger Algorithm","V. Sharma; N. Kumar; R. Bhagat","Electrical Engineering Department, Delhi Technological University, Delhi, India; Electrical Engineering Department, Delhi Technological University, Delhi, India; Electrical Engineering Department, Delhi Technological University, Delhi, India","2023 International Conference on Power, Instrumentation, Control and Computing (PICC)","8 Jun 2023","2023","","","1","5","This paper is intended for control and stabilization of the Magnetic Levitation (Maglev) system wherein a magnetic ball is levitated in space under the influence of a magnetic field. The Maglev system, which is highly unstable in nature, is made to stabilize with use of a PID controller in feedback. The values of gains of the PID controller can be found after applying metaheuristic algorithms. In this study, the Honey Badger Algorithm (HBA) has been employed to determine the gains of the PID controller. HBA is a recently developed algorithm that offers a good balance of speed of convergence and exploration and exploitation. Various time domain parameters like Settling time, Peak time, Rise time, and Maximum Overshoot are computed and compared with differently tuned PID gain values using various algorithms. The results obtained after applying HBA are compared to those of the Genetic Algorithm (GA) and Particle Swarm Optimization (PSO) to validate the efficacy of the applied algorithm.","","979-8-3503-3446-3","10.1109/PICC57976.2023.10142723","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10142723","Proportional Integral Derivative (PID) Controller;Magnetic Levitation System (MLS);Genetic Algorithm (GA);Honey Badger Algorithm (HBA);Particle Swarm Optimization (PSO","Simulation;Aerospace electronics;Mathematical models;Time factors;Particle swarm optimization;Time-domain analysis;Tuning","control system synthesis;magnetic levitation;metaheuristics;particle swarm optimisation;railway engineering;stability;three-term control","applied algorithm;genetic algorithm;HBA;Honey Badger algorithm;Maglev system;magnetic ball;magnetic field;magnetic levitation system;metaheuristic algorithms;PID controller;PID gain values;stabilization","","","","21","IEEE","8 Jun 2023","","","IEEE","IEEE Conferences"
"Reinforcement Learning and Fuzzy PID Control for Ball-on-plate Systems","J. -H. Lo; P. -K. Wang; H. -P. Huang","Department of Mechanical Engineering, National Taiwan University, Taipei, Taiwan; Department of Mechanical Engineering, National Taiwan University, Taipei, Taiwan; Department of Mechanical Engineering, National Taiwan University, Taipei, Taiwan","2022 International Automatic Control Conference (CACS)","7 Dec 2022","2022","","","1","6","Ball-on-plate system (BPs) is a well-known two-dimensional balancing problem that many types of controllers were implemented. The Reinforcement Learning (RL) and Fuzzy PID controllers are proposed to improve the performance of time-domain response. The comparison of the controllers with PD controller shows the high robustness of disturbance rejection and the requirements of performance are satisfied. The application of RL becomes a solution with different characteristics from other traditional controllers, and the performance of Fuzzy PID is confirmed in the BPs control.","","978-1-6654-9646-9","10.1109/CACS55319.2022.9969795","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9969795","","PI control;Virtual environments;Reinforcement learning;Interference;Robustness;Steady-state;PD control","active disturbance rejection control;fuzzy control;PD control;reinforcement learning;three-term control;time-domain analysis","ball-on-plate system;BPs control;disturbance rejection;fuzzy PID control;PD controller;reinforcement learning;RL;time-domain response;two-dimensional balancing problem","","1","","10","IEEE","7 Dec 2022","","","IEEE","IEEE Conferences"
"Modeling and Control of an Air Levitation Ball and Pipe Laboratory Setup","A. Tootchi; S. Amirkhani; A. Chaibakhsh","Faculty of Mechanical Engineering, University of Guilan, Rasht, Iran; Faculty of Mechanical Engineering, University of Guilan, Rasht, Iran; Faculty of Mechanical Engineering, University of Guilan, Rasht, Iran","2019 7th International Conference on Robotics and Mechatronics (ICRoM)","20 Apr 2020","2019","","","29","34","in this paper, design, fabrication, modeling, and control of a low-cost ball and pipe air levitation laboratory system for educational purposes is investigated. Ball and pipe laboratory setup is a dynamic benchmark system, designed to control the position of the ball on a vertical upward airflow that counteracts the gravitational force exerted on the ball without mechanical support. A blower feeds airflow, and the position of the ball is measurable by using an infrared distance meter. In this paper, the design and construction of a ball and pipe system are initially carried out. Detailed mathematical modeling of the process is included, followed by a system parameters identification process, and then a PID control system is developed by establishing a connection between the Arduino circuit and Simulink® real-time toolbox. The performance of the controller represents small overshoot and fast settling time. The system is intended to be used as a benchmark and educational laboratory setup in control systems theory courses. This device would enhance the understandings and skills of students by providing a proper balance between the theoretical concepts and practical knowledge.","2572-6889","978-1-7281-6604-9","10.1109/ICRoM48714.2019.9071827","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9071827","Ball and pipe air levitation setup;Arduino;mathematical modeling;system identification;PID controller","Mathematical model;Levitation;Force;Atmospheric modeling;Fans;Education","control engineering computing;control engineering education;control system synthesis;educational courses;flow control;magnetic levitation;microcontrollers;nonlinear control systems;parameter estimation;pipes;position control;student experiments;three-term control","air levitation ball;pipe laboratory setup;infrared distance meter;airflow;Simulink real-time toolbox;Arduino circuit;control systems theory courses;educational laboratory setup;PID control system;system parameters identification process;mathematical modeling;vertical upward airflow;dynamic benchmark system;pipe air levitation laboratory system;low-cost ball","","1","","16","IEEE","20 Apr 2020","","","IEEE","IEEE Conferences"
"Ball On The Plate Model based on PID tuning methods","N. Aphiratsakun; N. Otaryan","Narong Aphiratsakun with Faculty of Mechatronics Engineering, Assumption University, Thailand; Nane Otaryan with Faculty of Computer Sciences, Clausthal University of Technology, Germany","2016 13th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)","8 Sep 2016","2016","","","1","4","Controller design is one of the important steps during the modelling of various systems, starting with constructing an electric kettle to an aircraft system. To achieve a good controller it is needed to define suitable values for the controller coefficients. This paper describes the research practices of the tuning technique by using MATLAB/Simulink compared with manually PID tuning based on the trial and error process, as well as, PID tuning methods from Ziegler-Nichols and Tyreus-Luyben (closed-loop proportional gain control or P-Control tests). The paper can be useful for readers who want to have a basic knowledge of research assignments based on PID tuning.","","978-1-4673-9749-0","10.1109/ECTICon.2016.7561324","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7561324","","Tuning;Mathematical model;Transfer functions;Gold;MATLAB;Robots;Oscillators","closed loop systems;control system synthesis;manipulators;three-term control","ball-on-the-plate balancing robot;PID tuning methods;proportional-integral-derivative tuning;controller design;controller coefficients;trial-and-error process;Ziegler-Nichols control;Tyreus-Luyben control;closed-loop proportional gain control;p-control tests","","3","","10","IEEE","8 Sep 2016","","","IEEE","IEEE Conferences"
"I-PD controller design based on generalized KYP lemma for ball and plate system","S. Mochizuki; H. Ichihara","Graduate School of Science and Technology, Meiji University, Kawasaki-shi, Kanagawa, Japan; Department of Science and Engineering, Meiji University, Kawasaki-shi, Kanagawa, Japan","2013 European Control Conference (ECC)","2 Dec 2013","2013","","","2855","2860","A ball-on-plate balancing system, the ball and plate, has a camera to catch a ball position and a plate whose angle of inclination is limited. This paper proposes a design method of PID control based on the generalized Kalman-Yakubovich-Popov lemma for the ball and plate. The design method has two features: the first one is that a structure of the controller is called I-PD to suppress a large input signal against a major change of the reference signal; the second one is that a filter is introduced into the feedback loop to reduce an influence of the noise measurement from the camera. Both simulation and experiment evaluate the effectiveness of the design method.","","978-3-033-03962-9","10.23919/ECC.2013.6669269","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6669269","","Transfer functions;Cameras;Noise measurement;Equations;Noise;Simulation;Design methodology","control system synthesis;Kalman filters;nonlinear control systems;plates (structures);three-term control","I-PD controller design;generalized KYP lemma;ball-on-plate balancing system;generalized Kalman-Yakubovich-Popov lemma;PID control design method;large input signal suppression;reference signal;feedback loop;filter;noise measurement;camera","","9","","13","","2 Dec 2013","","","IEEE","IEEE Conferences"
"Trajectory Tracking and Ball Position Control of Magnetic Levitation System using Swarm Intelligence Technique","A. Varshney; B. Bhushan","Electrical Engineering Department, Delhi Technological University, Delhi, India; Electrical Engineering Department, Delhi Technological University, Delhi, India","2020 International Conference on Electronics and Sustainable Communication Systems (ICESC)","4 Aug 2020","2020","","","29","35","Magnetic levitation system is a second-order nonlinear system. The objective of the system is to levitate a metallic ball at a determined height under the influence of magnetic force by the principle of non-contact. In this paper, particle swarm optimization (PSO) technique is used to develop a controller to regulate the nonlinear dynamics in the magnetic levitation system. The proposed technique acts in parallel with a proportional integral derivative (PID) controller to balance the position of levitating ball in the air. Here, the optimization technique tunes the gain values of the PID controller for achieving better performance measures when applied to a nonlinear system. This tuning process adheres to search the optimal solution with the help of agents called as particles whose trajectories are adjusted by a deterministic component. Each particle is optimized by its best-achieved position through the iterative approach. Further, the performance of the proposed controller is demonstrated through simulation as well as on hardware. Both PID and PSO tuned PID controllers were designed and the dynamics of magnetic levitation system were tested. The results validate the performance of both conventional PID controller as well as PSO tuned PID controller enhancing the operation of the magnetic levitation system. It is observed that the PSO tuned PID overcomes the drawback of conventional PID by optimizing the performance parameters such as steady-state error and settling time.","","978-1-7281-4108-4","10.1109/ICESC48915.2020.9155772","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9155772","Particle swarm optimization (PSO);Zeigler Nicholas (Z-N) method;PID controller;Linear quadratic regulator (LQR);Magnetic levitation system (MLS)","Magnetic levitation;Magnetic forces;Particle swarm optimization;Electromagnetics;Mathematical model;Metals;Optimization","magnetic levitation;optimisation;particle swarm optimisation;position control;three-term control","magnetic levitation system;second-order nonlinear system;particle swarm optimization technique;proportional integral derivative controller;levitating ball;optimization technique tunes;PID controller;ball position control","","4","","18","IEEE","4 Aug 2020","","","IEEE","IEEE Conferences"
"Physical modeling and control of self-balancing platform on a cart","G. Madhumitha; R. Srividhya; J. Johnson; D. Annamalai","Department of Mechatronics Engineering, SRM University, Chennai, India; Department of Mechatronics Engineering, SRM University, Chennai, India; Department of Mechatronics Engineering, SRM University, Chennai, India; Department of Mechatronics Engineering, SRM University, Chennai, India","2016 International Conference on Robotics: Current Trends and Future Challenges (RCTFC)","6 Apr 2017","2016","","","1","6","This paper demonstrates a self-balancing platform with 2-degrees of freedom on a cart which is generally treated as inverted pendulum for simplicity. The system can be used in various transportation devices, delivery and stabilization systems and is particularly suitable for working in outdoor where the surface of ground is not flat or structured. The platform can freely rotate with the help of a ball and socket joint at its center. Lateral and longitudinal movements are controlled by two servomotors for each axis. As the cart moves on slope or on a rough terrain, the instantaneous tilt of the platform is measured by a gyroscope assembly which is compared with the desired orientation of the platform and can take corrective measure for platform up to 5 degrees in both axes. In this paper, physical modeling method is used for rapid simulation of system and mathematical relationship between platform tilt with respect to servomotor's rotation angle is developed. Proportional-integral-derivative (PID) controller is used for desired smooth operation and jerk attenuated balance of the platform. Comparative study of performance of the system for the physical model developed and the one that is implemented is made.","","978-1-5090-3342-3","10.1109/RCTFC.2016.7893410","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7893410","inverted pendulum;physical modeling;PID;mobile robot","Mathematical model;DC motors;Servomotors;Robot sensing systems;Torque;Market research","nonlinear systems;pendulums;self-adjusting systems;servomotors;stability;three-term control","physical modeling;self-balancing platform;cart;inverted pendulum;transportation devices;stabilization systems;socket joint;lateral movements;longitudinal movements;servomotors;rough terrain;gyroscope assembly;corrective measure;rapid simulation;mathematical relationship;servomotor rotation angle;proportional-integral-derivative controller;PID controller;smooth operation;jerk attenuated balance","","1","","11","IEEE","6 Apr 2017","","","IEEE","IEEE Conferences"
"An investigation on energy recovery analysis of active suspension system","R. Wang; V. T. Tran; F. Gu; A. D. Ball","University of Huddersfield, Huddersfield, Kirklees, GB; University of Huddersfield, Huddersfield, Kirklees, GB; University of Huddersfield, Huddersfield, Kirklees, GB; University of Huddersfield, Huddersfield, Kirklees, GB","2013 19th International Conference on Automation and Computing","14 Nov 2013","2013","","","1","6","Currently active suspension system is more applicable than passive for improving the suspension performance, ensuring the stability and passenger safety in modern automotive suspension system. However, high energy consumption is one of the main disadvantages of implementing this system in real applications. In this paper, the energy consumption of electromagnetic actuators used for an active suspension system controlled by proportionalintegral-derivative (PID), fuzzy adaptive PID, and neuron adaptive PID are investigated through simulation studies. Based on the energy consumption and the performance analysis, it has found that it is potential to develop a vibration energy recovery system to achieve the energy balance requirement in active suspension systems.","","978-1-908549-08-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6662053","active suspension;electromagnetic;energy recovery;controls","Suspensions;Actuators;Roads;Vibrations;Electromagnetics;Energy consumption;Vehicles","electromagnetic actuators;energy consumption;heat recovery;performance evaluation;safety;stability;suspensions (mechanical components)","energy recovery analysis;active suspension system;stability;passenger safety;automotive suspension system;energy consumption;electromagnetic actuators;proportionalintegral-derivative;fuzzy adaptive PID;neuron adaptive PID;performance analysis","","","","21","","14 Nov 2013","","","IEEE","IEEE Conferences"
"Closed Loop Control of Unstable Omni Directional Assisting System","V. N. Kadam; P. S. Jadhav; A. D. Ghatpande; G. H. S. Seshadri; D. K. Shah; P. J. Kadam","Department Of Electronics, Ramrao Adik Institute of Technology, Nerul, Navi Mumbai, India; Department Of Electronics, Ramrao Adik Institute of Technology, Nerul, Navi Mumbai, India; Department Of Electronics, Ramrao Adik Institute of Technology, Nerul, Navi Mumbai, India; Department Of Electronics, Ramrao Adik Institute of Technology, Nerul, Navi Mumbai, India; Department Of Electronics, Ramrao Adik Institute of Technology, Nerul, Navi Mumbai, India; Department Of Electronics, Ramrao Adik Institute of Technology, Nerul, Navi Mumbai, India","2018 4th International Conference for Convergence in Technology (I2CT)","9 Apr 2020","2018","","","1","5","Traditional wheeled mobile robots are equipped with two independent driving wheels. Since these robots have two controllable degrees of freedom (DOFs), they can rotate about any point, but cannot perform immediate motion in every direction. To overcome this type of motion limitation, omnidirectional mobile robots were proposed. They can move in an arbitrary direction without changing the direction of the wheels, because they can achieve five DOF-motion on a two dimensional plane. A special kind of such a robot is a Ball-Balancing Robot (BBR). This system is inherently unstable, as it will immediately fall down when no active control is applied to the wheels on the ball. There is no need to rotate the robot body when change the driving direction of the ball robot, so it is suitable for cluttered environments. The proposed work is intended to be used as an assistant robot in offices, airports, shopping complexes where there is a lot of congestion in the surroundings. It is also equipped with a kinect sensor for providing vision capabilities using which it could simultaneously localize itself and map its surroundings (SLAM) that would result in a seamless motion. Thus BBR would be able to smoothly move and avoid obstacles and provide the necessary assistance.","","978-1-5386-5232-9","10.1109/I2CT42659.2018.9058054","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9058054","Inverted pendulum;PID control;Ballbot;ROS;SLAM","Wheels;Mobile robots;DC motors;Angular velocity;Robot sensing systems;Kinematics","closed loop systems;mobile robots;motion control;SLAM (robots);wheels","loop control;unstable omni directional assisting system;wheeled mobile robots;independent driving wheels;motion limitation;omnidirectional mobile robots;arbitrary direction;DOF-motion;ball-balancing robot;BBR;active control;robot body;driving direction;ball robot;assistant robot;seamless motion","","","","5","IEEE","9 Apr 2020","","","IEEE","IEEE Conferences"
"PID Control of Nonlinear Systems","L. Wang",NA,"PID Control System Design and Automatic Tuning using MATLAB/Simulink","","2020","","","179","202","This chapter introduces linearization of nonlinear models through several examples. It also shows how to apply the proportional integral derivative (PID) controllers to a nonlinear plant using the technique called gain scheduled control. The starting point of designing a PID controller for a nonlinear plant is to obtain a linear time invariant model through linearization around the chosen operating conditions of the system. The purpose of linearization is to find a linear function (a set of linear functions) to describe the dynamics of the nonlinear model at a given operating condition. In order to understand how the linearization is performed, the chapter examines the case of linearization of a nonlinear function. It then presents a case study based on a final year project performed by Mr John Lee. As part of the project, a prototype of a ball and plate balancing system was built and PID control systems were designed for this self‐made system.","","9781119469377","10.1002/9781119469414.ch6","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9028342.pdf&bkn=9028308&pdfType=chapter","","Mathematical model;Taylor series;Steady-state;PI control;PD control;Nonlinear dynamical systems","","","","","","","","12 Mar 2020","","","IEEE","Wiley-IEEE Press eBook Chapters"
