"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Real-Time Implementation of Intelligent Modeling and Control Techniques on a PLC Platform","C. Parrot; G. K. Venayagamoorthy","Missouri University of Science and Technology, Rolla, MO, US; Real-Time Power and Intelligent Systems Laboratory, Missouri University of Science and Technology, Rolla, MO, USA","2008 IEEE Industry Applications Society Annual Meeting","24 Oct 2008","2008","","","1","7","Programmable logic controllers (PLCs) have been used for many decades for standard control in industrial and factory environments. Over the years, PLCs have become computational efficient and powerful, and a robust platform with applications beyond the standard control and factory automation. Due to the new advanced PLC's features and computational power, they are ideal platforms for exploring advanced modeling and control methods, including computational intelligence based techniques such as neural networks, particle swarm optimization (PSO) and many others. Some of these techniques require fast floating-point calculations that are now possible in real-time on the PLC. This paper focuses on the Allen-Bradley ControlLogix brand of PLCs, due to their high performance and extensive use in industry. The design and implementation of a neurocontroller consisting of two neural networks, one for modeling and the other for control, and the training of these neural networks with particle swarm optimization is presented in this paper on a single PLC. The neurocontroller in this study is a power system stabilizer (PSS) that is used for power system oscillation damping. The PLC is interfaced to a power system simulated on the real time digital simulator. Real time results are presented showing that the PLC is a suitable hardware platform for implementing advanced modeling and control techniques for industrial applications.","0197-2618","978-1-4244-2278-4","10.1109/08IAS.2008.164","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4658952","","Intelligent control;Programmable control;Power system modeling;Power system simulation;Automatic control;Industrial control;Neural networks;Industrial power systems;Computational intelligence;Particle swarm optimization","damping;floating point arithmetic;neurocontrollers;particle swarm optimisation;power system control;programmable controllers;stability","intelligent modeling;intelligent control techniques;PLC platform;programmable logic controllers;particle swarm optimization;floating-point calculations;neurocontroller;power system stabilizer;power system oscillation damping","","10","","11","IEEE","24 Oct 2008","","","IEEE","IEEE Conferences"
"Application and comparison of switching control algorithms for power system stabilizer","Yathisha L; S. S. P. Kulkarni","Electronics & Communication Department, S J College of Engineering, Mysuru; Electronics & Communication Department, S J College of Engineering, Mysuru, India","2015 International Conference on Industrial Instrumentation and Control (ICIC)","9 Jul 2015","2015","","","1300","1305","An application of two switching control algorithms for the power system stabilizer (PSS) is introduced in this paper to enhance damping during low frequency oscillations in a power system followed by the comparison of the results due to these algorithms. Algorithm 1, is based on Lyapunov's stability theorem while algorithm 2, switches such a way that state trajectory is driven on to (n-1) dimensional stable hyper-plane. In the context of power systems, experimental comparison of the two switching algorithms promises theoretical insights for better algorithms in future. The feedback switching control models presented here is tested on the SMIB linearised phillips heffron model of a power system using MATLAB/SIMULINK @ platform.","","978-1-4799-7165-7","10.1109/IIC.2015.7150949","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7150949","PSS;SMIB;Phillips Heffron Model;LQR;Pole placement;Sw 1 & Sw 2","Switches;Heating","Lyapunov methods;power system stability;time-varying systems","switching control algorithms;power system stabilizer;PSS;low frequency oscillations;Lyapunov stability theorem;feedback switching control models;MATLAB;SIMULINK","","6","","15","IEEE","9 Jul 2015","","","IEEE","IEEE Conferences"
"Design of wide-area power system stabilizer considering packet drops","S. Rasheed; V. P. Singh","Electrical Department, National Institute Technology, Raipur Raipur, India; Electrical Department, National Institute Technology, Raipur Raipur, India","2019 3rd International Conference on Computing Methodologies and Communication (ICCMC)","29 Aug 2019","2019","","","1046","1050","Wide area monitoring systems (WAMS) serves as a platform to integrate the communication network with power system networks, along with its advantages WAMS adds some unavoidable constraints like delay and packet losses to the transmitted data which may affect the wide area power system stabilizer (WAPSS) performance. In WAMS, signals are sensed by phasor measurement units (PMUs) and transmitted to phasor data concentrators (PDCs) as packets with a time tag using Transmission Control Protocol (TCP) or User Datagram Protocol (UDP). Data is stored and aligned with respect to its time tag in PDC, when the packet drop occurs it results into absence of data at that particular instant and causes vacancies. In this paper, moving average method is proposed in order to estimate these vacancies. The estimated remote signal is used as input instead of signal with drops. The tuning of WAPSS is done by slap swarm algorithm (SSA) considering integral time absolute speed deviation (ISD) as objective function. Case study is under taken by considering two-area four-machine system under different test scenarios. The simulation results prove the satisfactory performance of proposed approach regarding inter-area oscillation damping.","","978-1-5386-7808-4","10.1109/ICCMC.2019.8819730","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8819730","wide area monitoring system;transmission control protocol;user data gram protocol;packet drops","","damping;delays;losses;oscillations;phasor measurement;power system control;power system stability;telecommunication networks;transport protocols","two-area four-machine system;packet drop;wide area monitoring systems;communication network;power system networks;packet losses;wide area power system stabilizer performance;phasor measurement units;remote signal;integral time absolute speed deviation;inter-area oscillation damping;WAMS;WAPSS;PMU;phasor data concentrator;PDC;transmission control protocol;TCP;user datagram protocol;UDP;slap swarm algorithm;SSA;ISD;delay","","1","","14","IEEE","29 Aug 2019","","","IEEE","IEEE Conferences"
"Analysis of sensor platform dynamics in ground vehicle","S. Mattila; J. Kostamo; E. Porkka; P. Kuosmanen; H. Heikkila","Helsinki University of Technology, Finland; Helsinki University of Technology, Finland; Helsinki University of Technology, Finland; Helsinki University of Technology, Finland; Armoured Brigade, Finland","IEEE Aerospace and Electronic Systems Magazine","18 Sep 2006","2006","21","8","9","14","A vehicular platform's dynamical behavior is analyzed as a basis for designing a laboratory test apparatus and an associated 2-dimensional orthogonal stabilizer. The test track caused inclination in the front direction to vary from -6.5/spl deg/ to 7.2/spl deg/ and from -5.5/spl deg/ to 5.0/spl deg/ in the side direction. The maximum angular rate was 19.8 /spl plusmn/ 0.1/spl deg//s in the front direction within a bandwidth of 0-2.5 Hz and 14.4 /spl plusmn/ 0.05/spl deg//s in the side direction. The platform's natural frequency in the front direction was found to be 0.8-1.0 Hz. In the side direction the most significant rate values appeared within 0-4 Hz but the natural frequency did not wake. Inclination measurements were based on sensor fusion where the basic model of stochastic Kalman filtering was applied.","1557-959X","","10.1109/MAES.2006.1703230","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1703230","","Vehicle dynamics;Land vehicles;Testing;Frequency;Laboratories;Bandwidth;Sensor fusion;Stochastic processes;Kalman filters;Filtering","test equipment;sensor fusion;Kalman filters;angular velocity measurement","sensor platform dynamics;ground vehicle;2D orthogonal stabilizer;inclination measurements;sensor fusion;stochastic Kalman filtering;0 to 2.5 Hz;0 to 4 Hz","","","","9","IEEE","18 Sep 2006","","","IEEE","IEEE Magazines"
"Mitigating Coherent Noise by Balancing Weight-2 Z-Stabilizers","J. Hu; Q. Liang; N. Rengaswamy; R. Calderbank","Department of Mathematics, Duke University, Durham, NC, USA; Department of Mathematics, Duke University, Durham, NC, USA; Department of Electrical and Computer Engineering, Duke University, Durham, NC, USA; Department of Mathematics, Duke University, Durham, NC, USA","IEEE Transactions on Information Theory","17 Feb 2022","2022","68","3","1795","1808","Physical platforms such as trapped ions suffer from coherent noise that does not follow a simple stochastic model. Stochastic errors in quantum systems occur randomly but coherent errors are more damaging since they can accumulate in a particular direction. We consider coherent noise acting transversally, giving rise to an effective error which is a  $Z$ -rotation on each qubit by some angle  $\theta $ . Rather than address coherent noise through active error correction, we investigate passive mitigation through decoherence free subspaces. In the language of stabilizer codes, we require the noise to preserve the code space, and to act trivially (as the logical identity operator) on the protected information. Thus, we develop necessary and sufficient conditions for all transversal  $Z$ -rotations to preserve the code space of a stabilizer code. These conditions require the weight- $2~Z$ -stabilizers to cover all the qubits that are in the support of the  $X$ -component of some stabilizer. Furthermore, the weight- $2~Z$ -stabilizers generate a direct product of single-parity-check codes with even block length. By adjusting the sizes of these components, we are able to construct a large family of QECC codes oblivious to coherent noise, one that includes the  $[[4L^{2}, 1, 2L]]$  Shor codes. The Shor codes are examples of constant excitation codes, where logical qubits are encoded as a code state that is a sum of physical states indexed by binary vectors with the same weight. Constant excitation codes are oblivious to coherent noise since a transversal  $Z$ -rotation acts as a global phase. We prove that a CSS code is oblivious to coherent noise if and only if it is a constant excitation code, and that if the code is error-detecting, then the (constant) weights in different cosets of the  $X$ -stabilizers are identical.","1557-9654","","10.1109/TIT.2021.3130155","National Science Foundation (NSF)(grant numbers:CCF-2106213,CCF-1908730); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9624967","Coherent noise;decoherence-free subspace (DFS);transversal Z-rotations;necessary conditions;constant excitation code","Codes;Qubit;Computers;Product codes;Stochastic processes;Quantum system;Ions","error correction;error correction codes;parity check codes;quantum communication;quantum computing;stochastic processes","stabilizer code;single-parity-check codes;QECC codes;Shor codes;constant excitation code;code state;coherent noise;balancing weight-2 Z-stabilizers;stochastic errors;code space","","3","","40","IEEE","23 Nov 2021","","","IEEE","IEEE Journals"
"Underwater Target Tracking Control of an Untethered Robotic Fish With a Camera Stabilizer","J. Yu; Z. Wu; X. Yang; Y. Yang; P. Zhang","Department of Mechanics and Engineering Science, BIC-ESAT, College of Engineering, State Key Laboratory for Turbulence and Complex Systems, Peking University, Beijing, China; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Management and Control for Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China","IEEE Transactions on Systems, Man, and Cybernetics: Systems","15 Sep 2021","2021","51","10","6523","6534","Implementing underwater target tracking remains difficult for a free-swimming robotic fish owing to the intrinsically reciprocating motion in fishlike propulsion. In this article, we present a novel robotic fish platform with a camera stabilizing system and achieve real-time two-dimensional target tracking assisted by reinforcement learning (RL) in continuous environments. More specifically, we first develop an active visual tracking system based on cascade control structure to obtain the relative orientation between the robotic fish and the underwater target. Then, we propose a target tracking controller dealing with continuous state and action spaces based on deep RL (DRL). The controller takes the position of the target object as input and yields the motion parameters of the bioinspired central pattern generator governed robotic fish. The robustness and adaptability of the proposed controller as well as the influence of time-delays on the control system are explored via simulated experiments under different scenarios. Finally, both static and dynamic tracking experiments on the actual robotic fish demonstrate the effectiveness of the proposed mechatronic design and control methods, providing insights to executing aquatic vision-based tracking tasks.","2168-2232","","10.1109/TSMC.2019.2963246","National Natural Science Foundation of China(grant numbers:61725305,U1909206,61633020,61633004,61973303); Preresearch Fund of Equipment of China(grant numbers:61402070304); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8957237","Active visual tracking;camera stabilizer;reinforcement learning (RL);robotic fish;underwater target tracking","Cameras;Robot vision systems;Target tracking;Oscillators;Sports","autonomous underwater vehicles;cascade control;control engineering computing;control system synthesis;deep learning (artificial intelligence);mechatronics;mobile robots;motion control;position control;robot kinematics;robot vision;target tracking","untethered robotic fish;camera stabilizer;robotic fish platform;camera stabilizing system;visual tracking system;cascade control structure;target tracking controller;target object position;mechatronic design;underwater target tracking control;deep RL;reinforcement learning;motion parameters","","23","","36","IEEE","13 Jan 2020","","","IEEE","IEEE Journals"
"Adaptive Position control of three degrees freedom platform","A. Taheri; M. R. Tarihi","Malek Ashtar University of Technology, Iran; Malek Ashtar University of Technology, Iran","2006 1ST IEEE Conference on Industrial Electronics and Applications","11 Dec 2006","2006","","","1","5","This paper describes the implementation of a hybrid self-tuning regulator for the positioning of motors in 3-degree of freedom table in image stabilizer. This system has three motors in yaw, pitch, and roll axis for control of table. The servo motors are permanent magnet dc motors in which no speed reducer is used. Experimental results obtained with three dc motors in yaw, pitch and roll axial. There are two innovative aspects of this work. First, parameter estimation is used to adapt the feed forward compensation terms instead of the gains of the feedback controller, as usually is the case in conventional indirect self-tuning regulators. Second, the complete adaptive controller has been implemented with C program and pc 1812 card and encoder card and motor driver for command the motors. In result one method with hybrid increase accuracy system, specially when input error signal is large and need to maximum speed control system","","0-7803-9513-1","10.1109/ICIEA.2006.257376","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4025977","","Programmable control;Adaptive control;Position control;DC motors;Permanent magnet motors;Servomotors;Control systems;Servomechanisms;Parameter estimation;Feeds","adaptive control;DC motors;feedforward;machine control;parameter estimation;permanent magnet motors;position control;servomotors;velocity control","adaptive position control;three degrees freedom platform;hybrid self-tuning regulator;yaw-pitch-roll control;motor positioning;image stabilizer;servo motors;permanent magnet dc motors;parameter estimation;feed forward compensation;feedback controller gains;indirect self-tuning regulators;pc 1812 card;C program;motor driver;encoder card;speed control system","","","","7","IEEE","11 Dec 2006","","","IEEE","IEEE Conferences"
"Real-time simulation of synchronous generator and its controllers on RTAI-Linux platform","A. H. Latha; K. N. Shubhanga","Department of Electrical Engineering, NITK, Surathkal, INDIA; Department of Electrical Engineering, NITK, Surathkal, INDIA","2013 Annual IEEE India Conference (INDICON)","30 Jan 2014","2013","","","1","6","This paper presents a real-time simulation of a synchronous generator using real-time application interface (RTAI) on Linux. Different generator controllers such as exciter and power system stabilizer are also included in the real-time simulation. The Forward Euler method with a suitable step-size has been employed for obtaining the solution of differential equations after justifying its applicability through illustrative examples. Various disturbance conditions are demonstrated to bring out most of the rotor-angle stability issues in a SMIB system. Using a peripheral component interconnect (PCI) card, the real-time simulation results are captured on an oscilloscope and are validated using off-line MATLAB simulations. Such a setup offers a very useful laboratory tool for carrying out the hardware-in-the-loop tests.","2325-9418","978-1-4799-2275-8","10.1109/INDCON.2013.6725978","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6725978","Real-time simulation;RTAI-Linux;Numerical integration methods;Synchronous generator","Real-time systems;Mathematical model;Numerical models;Equations;Linux;Power system stability;Computational modeling","control engineering computing;Linux;machine control;power engineering computing;real-time systems;synchronous generators","synchronous generator real-time simulation;RTAI-Linux platform;real-time application interface;generator controllers;power system stabilizer;exciter;forward Euler method;differential equations;disturbance conditions;rotor-angle stability;SMIB system;peripheral component interconnect;PCI card","","","","21","IEEE","30 Jan 2014","","","IEEE","IEEE Conferences"
"Hybrid Adaptive Precise Position Control of Three Degrees Freedom Platform","A. Taheri; M. R. Tarihi","Malek Ashtar University of Technology, Iran; Malek Ashtar University of Technology, Iran","2006 2nd International Conference on Information & Communication Technologies","16 Oct 2006","2006","1","","1578","1583","This paper describes the implementation of a hybrid self-tuning regulator for the positioning of motors in 3-degree of freedom table in image stabilizer. This system has three motors in yaw, pitch, and roll axis for control of table. The servo motors are permanent-magnet DC motors in which no speed reducer is used. Experimental results obtained with three DC motors in yaw, pitch and roll axial. There are two innovative aspects of this work. First, parameter estimation is used to adapt the feed forward compensation terms instead of the gains of the feedback controller, as usually is the case in conventional indirect self-tuning regulators. Second, the complete adaptive controller has been implemented with MATLAB and C program and PCL812 card and encoder card and motor driver for command the motors. In result one method with hybrid increase accuracy system, especially when input error signal is large and need to maximum speed control system","","0-7803-9521-2","10.1109/ICTTA.2006.1684619","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1684619","","Programmable control;Adaptive control;Position control;DC motors;Servomotors;Control systems;Servomechanisms;Parameter estimation;Feeds;MATLAB","adaptive control;control engineering computing;DC motors;machine control;permanent magnet motors;position control;self-adjusting systems;servomotors","position control;three degrees freedom platform;hybrid self-tuning regulator;motor positioning;image stabilizer;servo motors;permanent-magnet DC motors;yaw axial;pitch axial;roll axial;parameter estimation;feedforward compensation;feedback controller;adaptive controller;MATLAB;C program;encoder card;motor driver;speed control","","","","6","IEEE","16 Oct 2006","","","IEEE","IEEE Conferences"
"Driver model with motion stabilizer for vehicle-driver closed-loop simulation at high-speed maneuvering","Y. Koh; H. Her; K. Kim; K. Yi","Seoul National University, Gwanak-gu, Seoul, KR; Seoul National University, Gwanak-gu, Seoul, KR; Hyundai Kia Motors R&D Center, Hwaseong, Korea; Seoul National University, Gwanak-gu, Seoul, KR","2015 IEEE Intelligent Vehicles Symposium (IV)","27 Aug 2015","2015","","","1299","1304","This paper describes an integrated driver model for vehicle-driver closed-loop simulation at high speed maneuvering. The proposed driver model is developed to specialize in limit handling, in order to be used as a validation platform of chassis control system. Thus, the proposed driver model emulates human driver's driving characteristics such as, desired path selection from varying preview area, deceleration against losing maneuverability. In high-speed cornering, steering with excessive corner-entry speed causes lateral tire force saturation readily. Sequentially, the lateral tire force saturation induces lateral instability of a vehicle. Deceleration is the most effective manipulation which driver can do. The proposed driver model is designed to utilize capability of tire force tightly, while securing lateral stability of the vehicle. The proposed driver model has been validated via comparison with an expert driver's driving data, collected on the Korea International Circuit in Yeongam, Korea.","1931-0587","978-1-4673-7266-4","10.1109/IVS.2015.7225895","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7225895","","Vehicles;Tires;Computational modeling;Mathematical model;Acceleration;Integrated circuit modeling;Velocity control","acceleration control;automotive components;closed loop systems;motion control;road vehicles;stability;tyres;velocity control","driver model;motion stabilizer;vehicle-driver closed-loop simulation;high-speed maneuvering;chassis control system;lateral tire force saturation;deceleration;vehicle lateral stability","","1","","30","IEEE","27 Aug 2015","","","IEEE","IEEE Conferences"
"Improvement of Transient Stability by Teaching Learning Based Optimization Tuned AVR Associated PSS System","N. D. V. Prasad Pandalaneni; S. Saravanan; A. Mehbodniya; R. S J","Department of EEE Dr. YSR ANU College of Engineering & Technology, Acharya Nagarjuna University, Andhra Pradesh; Department of EEE, B V Raju Institute of Technology, Narsapur, Telangana; Department of ECE, Kuwait College of Science and Technology (KCST), Doha Area, Kuwait; Department of EEE, PES Institute of Technology and Management, Shivamogga","2021 Fourth International Conference on Electrical, Computer and Communication Technologies (ICECCT)","29 Nov 2021","2021","","","1","5","At power generation stations, synchronous generator terminal voltage regulation is a key issue. Generally, AVR is used to regulate and mitigate the fluctuations due to dynamic changes in loads (sudden addition/rejection of loads). Power system stabilizer & AVR provide stability and lead to reliable, quality power supplies to consumers. In this paper, TLBO tuned PSS and AVR coordinate system is used to regulate the 500MW power generation contains the synchronous generator, this co-ordinate system improves the transient stability as well as minimization of steady-state error in rotor angle and speed, it leads to maintain synchronous generator terminal voltage within the permissible levels and helps to avoid the voltage collapse. The proposed system is examined under MATLAB/SIMULINK platform.","","978-1-6654-1480-7","10.1109/ICECCT52121.2021.9616944","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9616944","Automatic Voltage Regulator;MATLAB simulation;Power System Stabilizer;Synchronous generator;Transient stability","Fluctuations;Voltage fluctuations;Rotors;Power system stability;Synchronous generators;Stability analysis;Voltage control","machine control;optimisation;power generation control;power supply quality;power system transient stability;rotors;synchronous generators;voltage control","power generation stations;synchronous generator terminal voltage regulation;quality power supplies;transient stability;voltage collapse;optimization tuned AVR associated PSS system;power system stabilizer;teaching learning;TLBO;rotor angle;MATLAB-SIMULINK platform;power 500.0 MW","","","","22","IEEE","29 Nov 2021","","","IEEE","IEEE Conferences"
"High-Speed Silicon Integrated Polarization Stabilizer Assisted By a Polarimeter","W. Liu; J. Liao; H. Cai; Y. Yu; X. Zhang","Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China; Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology, Wuhan, Hubei, China","Journal of Lightwave Technology","6 Jun 2022","2022","40","12","3794","3801","Integrated polarization stabilizers along with corresponding stabilizing algorithms have been investigated for years to tackle the polarization fluctuation issue in polarization dependent systems such as photonics integrated circuits and coherent optical communication systems. Here, we propose and demonstrate a novel integrated polarization stabilizer which is composed of an in-line polarimeter and two cascaded Mach-Zehnder interferometers-based polarization converter, with a footprint of 2.8 mm × 0.8 mm. Benefitting from the integrated in-line polarimeter and two controlling algorithms, namely feed-forward tracking algorithm and feedback tracking algorithm, the stabilizer can track the incoming light with arbitrary state of polarization in one-time manipulation. The whole process consumes about 30 μs, which is approaching the limitation of the response time of the adopted thermal phase shifters, making the proposed device the fastest one with thermal phase shifters on silicon photonics platform. Meanwhile, the incoming light is endlessly tracked in real time and 99% converted to horizontal linear polarized light.","1558-2213","","10.1109/JLT.2022.3150563","National Key Research and Development Program of China(grant numbers:2019YFB1803801,2019YFB2203502); National Natural Science Foundation of China(grant numbers:61922034,61911530161); Key Research and Development Program of Hubei Province(grant numbers:2020BAA011); HUST Academic Frontier Youth Team(grant numbers:2018QYTD08); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9712206","Feedback circuits;Optical polarization;Polarim- etry;Silicon photonics","Optical polarization;Optical feedback;Optical interferometry;High-speed optical techniques;Optical receivers;Optical fiber communication;Photoconductivity","elemental semiconductors;integrated optics;light polarisation;Mach-Zehnder interferometers;optical feedback;polarimeters;silicon","stabilizing algorithms;polarization fluctuation;polarization dependent systems;photonics integrated circuits;coherent optical communication systems;controlling algorithms;feedback tracking algorithm;horizontal linear polarized light;high-speed silicon integrated polarization stabilizer;cascaded Mach-Zehnder interferometer-based polarization converter;integrated in-line polarimeter;feed-forward tracking algorithm;thermal phase shifters;silicon photonics platform;Si","","6","","34","IEEE","11 Feb 2022","","","IEEE","IEEE Journals"
"Performance Analysis of Discrete and Continuous Mode PSS in PHILLIPH-HEFFRON Model","M. Bhadu; A. Kumar; N. I. Chouhan; H. Chand Kumawat; S. K. Bishnoi","Department of Electrical Engineering, Government Engineering College, Bikaner, Rajasthan, India; Department of Electrical Engineering, Government Engineering College, Bikaner, Rajasthan, India; Department of Electrical Engineering, Government Engineering College, Bikaner, Rajasthan, India; Department of Electrical Engineering, Government Engineering College, Bikaner, Rajasthan, India; Department of Electrical Engineering, Government Engineering College, Bikaner, Rajasthan, India","2019 International Conference on Computing, Power and Communication Technologies (GUCON)","27 Dec 2019","2019","","","8","13","In this paper, the discrete transfer function model of PSS is proposed to damp out the low frequency oscillations and stabilizing the signal frequency oscillations in PHILLIP - HAFFRON model of single machine infinite bus system. The continuous mode PSS is tuned with various methods like P-Vr method, GEP method and residue method. Further, the continuous mode PSS is converted into discrete mode. The conversion process of continuous to discrete mode is performed on MATLAB platform, which is employed into the test power system. The performance of the designed PSSs are measured in the form of speed deviation of generator with respect to time of the test system.","","978-93-5351-098-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8940496","Discrete mode power system stabilizer;PHILLIP –HAFFRON model;Residues tuning method;GEP tuning method;Small signal stability","Mathematical model;Tuning;Power system stability;Oscillators;Stability analysis;Transfer functions;Time-frequency analysis","damping;oscillations;power system control;power system stability;transfer functions","continuous mode PSS;low frequency oscillations;signal frequency oscillations;PHILLIP - HAFFRON model;single machine infinite bus system;performance analysis;discrete mode PSS;MATLAB platform;generator speed deviation;power system stabilizer;discrete transfer function model","","","","17","","27 Dec 2019","","","IEEE","IEEE Conferences"
"A Reaction-Based Stabilizer for Nonmodel-Based Vibration Control of Cable-Driven Parallel Robots","H. Jamshidifar; M. Rushton; A. Khajepour","Mechanical and Mechatronics, University of Waterloo, Waterloo, ON; Mechanical and Mechatronics, University of Waterloo, Stoney Creek, ON; Mechanical and Mechatronics, University of Waterloo, Waterloo, ON","IEEE Transactions on Robotics","2 Apr 2021","2021","37","2","667","674","Considering a simplified model of cables is an essential assumption in the design of state-estimator and vibration control of cable-driven parallel robots (CDPRs). Such an assumption however, impacts the effectiveness of controllers and state-estimators in such systems. This article presents a reaction-based stabilizer for nonmodel-based vibration control of CDPRs to address such model dependence. It is proved analytically that by using only three actuators and not involving the cable-connected winches, the proposed stabilizer regulates all undesired vibrations of the platform. It is also shown that the proposed stabilizer needs only the directly measurable position and velocity of its actuators to form its closed-loop control feedback signals. Effectiveness of the proposed system is more significant in CDPRs with considerable nonlinear effects of cables, where such effects are computationally costly to model, such that the performance of real-time controllers and state-estimators are spoiled. To provide a case study, a multibody nonlinear dynamic model of a suspended CDPR equipped-with the proposed stabilizer with zero cable damping effects is developed in SimMechanics/MATLAB, where a fine-tuned proportional-derivative controller is applied on each actuator to suppress all vibrations of the system. In addition, a suspended CDPR with extremely stretchable nonlinear-stiffness elastomer cables is fabricated and tested, where performance of the proposed stabilizer to suppress the high-amplitude nonlinear oscillations of the whole system is demonstrated.","1941-0468","","10.1109/TRO.2020.3031269","Natural Sciences and Engineering Research Council of Canada; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9244644","Cable-driven parallel robots (CDPRs);mechanism design;underactuated systems;vibration control","Vibrations;Stability analysis;Asymptotic stability;Actuators;Computational modeling;Damping;Control design","cables (mechanical);closed loop systems;control system synthesis;damping;elastomers;feedback;flexible structures;industrial robots;nonlinear control systems;nonlinear dynamical systems;PD control;position control;stability;three-term control;vibration control;vibrations","reaction-based stabilizer;nonmodel-based vibration control;cable-driven parallel robots;essential assumption;state-estimator;CDPRs;model dependence;actuator;cable-connected winches;undesired vibrations;directly measurable position;closed-loop control feedback signals;considerable nonlinear effects;real-time controllers;multibody nonlinear dynamic model;zero cable damping effects;proportional-derivative controller;nonlinear-stiffness elastomer cables","","9","","18","IEEE","29 Oct 2020","","","IEEE","IEEE Journals"
"The fatigue life prediction model research for aeroplane structures","Cui Jianguo; Gong Junjie; Li Zhonghai; Liu Liqiu; Gao Jian; Li Wei","Automatization College, Shenyang University of Aeronautics and Astronautics, Shenyang, China; Automatization College, Shenyang University of Aeronautics and Astronautics, Shenyang, China; Automatization College, Shenyang University of Aeronautics and Astronautics, Shenyang, China; Automatization College, Shenyang University of Aeronautics and Astronautics, Shenyang, China; Shenyang Aeroplane Design and Research Institute, Shenyang, China; Shenyang Aeroplane Design and Research Institute, Shenyang, China","2010 3rd International Symposium on Systems and Control in Aeronautics and Astronautics","11 Nov 2010","2010","","","686","690","The research of aeroplane structure fatigue life prediction has the important military significance and the conspicuous economic value. In this paper, the specific object of research is the pivotal aeroplane structural component-aeroplane stabilizer. Through the analysis of the aeroplane stabilizer stress, the mathematical model of fatigue crack was established in the paper. Take advantage of the model, it could predict the fatigue crack growth life under the mutative stress extent loading. And according to the model, we researched how the initial crack length and the stress affect the fatigue crack growth life. Then, load the model on the simulation platform which is established on the VC++6.0 environment in order to do a simulation experiment. The simulation experiment shows that this model could availably predict the fatigue crack growth life under the mutative stress extent loading, and resolve the problem that the fatigue growth life was difficult of predicting under the mutative stress extent loading.","","978-1-4244-6045-8","10.1109/ISSCAA.2010.5632232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5632232","fatigue crack;aeroplane stabilizer;life prediction;healthy integrated management","Fatigue;Load modeling;Stress;Loading;Predictive models;Mathematical model;Biological system modeling","aerospace components;aircraft;condition monitoring;failure analysis;fatigue cracks;stress-strain relations;structural engineering","fatigue life prediction model;aeroplane structural component;aeroplane stabilizer;fatigue crack growth life;mutative stress extent loading","","","","16","IEEE","11 Nov 2010","","","IEEE","IEEE Conferences"
