,Title,Authors,Year,Source title,Document Type,Cited by,Abstract,Author Keywords,Affiliations,Authors with affiliations
26,"A review of fatty epoxide ring opening reactions: Chemistry, recent advances, and applications",Moser B.R.; Cermak S.C.; Doll K.M.; Kenar J.A.; Sharma B.K.,2022,"JAOCS, Journal of the American Oil Chemists' Society",Review,18,,,,
27,Synthesis of stable calcium carbonate nanoparticles for pH-responsive controlled drug release,Xu D.; Jin T.; Song L.; Zhu N.; Han L.; Hong H.,2023,Materials Letters,Article,4,,,,
28,Self-assembly and phase transition of gold nanoclusters in natural deep eutectic solvent for visual detection of toxicants in water environment,Song J.; Zhao N.; Zhao L.,2023,Journal of Molecular Liquids,Article,0,,,,
29,Kinematics of platform stabilization using a 3-PRS parallel manipulator,Udomsap T.; Chinchouryrang S.; Liampipat S.; Chanthasopeephan T.,2023,ROBOMECH Journal,Article,1,,,,
30,Thermo-responsive lipophilic NIPAM-based block copolymers as stabilizers for lipid-based cubic nanoparticles,Balestri A.; Lonetti B.; Harrisson S.; Farias-Mancilla B.; Zhang J.; Amenitsch H.; Schubert U.S.; Guerrero-Sanchez C.; Montis C.; Berti D.,2022,Colloids and Surfaces B: Biointerfaces,Article,4,,,,
31,Grid-Forming Control of Voltage Source Converters Based on the Virtual-Flux Orientation,Rodriguez-Amenedo J.L.; Gomez S.A.; Zubiaga M.; Izurza-Moreno P.; Arza J.; Fernandez J.D.,2023,IEEE Access,Article,3,,,,
32,Fragment Screening Yields a Small-Molecule Stabilizer of 14-3-3 Dimers That Modulates Client Protein Interactions,Brink H.J.; Riemens R.; Thee S.; Beishuizen B.; da Costa Pereira D.; Wijtmans M.; de Esch I.; Smit M.J.; de Boer A.H.,2022,ChemBioChem,Article,3,,,,
33,"One-pot synthesis of poly(vinylpyrrolidone)-encapsulated color-emitting silicon quantum dots for sensitive and selective detection of 2,4,6-trinitrophenol",Sullam E.M.; Adam K.M.; Nsanzamahoro S.; Cai M.; Gao Z.; Liu J.; Chen H.; Xiao J.,2022,New Journal of Chemistry,Article,1,,,,
34,A glass matrices-assisted quantum dots-based biosensor for selective capturing and detection of Escherichia coli,Pant A.; Kaur T.; Sharma T.; Singh J.; Suttee A.; Barnwal R.P.; Kaur I.P.; Singh G.; Singh B.,2022,Journal of Water and Health,Article,0,,,,
35,Interface coordination achieving excellent optical properties of three-dimensional dendritic gold nanoparticles for immunochromatographic performance,Shao Y.; Xu W.; Zheng Y.; Zhu Z.; Xie J.; Wei X.; Zhang Y.; Zhang J.; Wu Q.; Wang J.; Ding Y.,2023,Chemical Engineering Journal,Article,4,,,,
36,Nano-hybrid luminophores of Ti3C2TX quantum dots-gold nanoparticles based on in situ generation for sensitive electrochemiluminescence biosensing,Zhang H.; Wang L.; Zhuang T.; Wei Z.; Xia J.; Wang Z.,2022,Analytical and Bioanalytical Chemistry,Article,3,,,,
37,Chitosan Surface-Modified PLGA Nanoparticles Loaded with Cranberry Powder Extract as a Potential Oral Delivery Platform for Targeting Colon Cancer Cells,Mostafa M.M.; Amin M.M.; Zakaria M.Y.; Hussein M.A.; Shamaa M.M.; Abd El-Halim S.M.,2023,Pharmaceutics,Article,6,,,,
38,Luminophore-Surface-Engineering-Enabled Low-Triggering-Potential and Coreactant-Free Electrochemiluminescence for Protein Determination,Gao X.; Ren X.; Ai Y.; Li M.; Zhang B.; Zou G.,2023,Analytical Chemistry,Article,1,,,,
39,Design of Handheld PTZ Stabilizer Based on Arduino,Hua H.,2023,"ITNEC 2023 - IEEE 6th Information Technology, Networking, Electronic and Automation Control Conference",Conference paper,0,,,,
40,"In Situ Coatings of Polymeric Films with Core Polystyrene, Core-Shell Polystyrene/SiO2, and Hollow SiO2 Micro/Nanoparticles and Potential Applications",Hayne S.; Margel S.,2023,ACS Omega,Article,1,,,,
41,Dual-binding domain electrochemiluminescence biosensing platform with self-checking function for sensitive detection of synthetic cathinone in e-cigarettes,Cao Q.; Jiang D.; Zheng L.; Xu F.; Shiigi H.; Shan X.; Wang W.; Chen Z.,2023,Biosensors and Bioelectronics,Article,6,,,,
42,Pitch stability of offshore waste collection platform hull with NACA fin stabilizers,Wen Z.; Si M.; Wang C.; Yang F.,2023,Vibroengineering Procedia,Conference paper,0,,,,
43,A scheme to create and verify scalable entanglement in optical lattice,Zhou Y.; Xiao B.; Li M.-D.; Zhao Q.; Yuan Z.-S.; Ma X.; Pan J.-W.,2022,npj Quantum Information,Article,2,,,,
44,Covalently grafting first-generation PAMAM dendrimers onto MXenes with self-adsorbed AuNPs for use as a functional nanoplatform for highly sensitive electrochemical biosensing of cTnT,Liu X.; Qiu Y.; Jiang D.; Li F.; Gan Y.; Zhu Y.; Pan Y.; Wan H.; Wang P.,2022,Microsystems and Nanoengineering,Article,16,,,,
45,Neuropsychological exponents for the driving ability in remitted bipolar patients,Joachimiak P.; Jaracz K.; Jaracz J.,2022,International Journal of Bipolar Disorders,Article,0,,,,
46,Gold nanoclusters anchored manganese dioxide nanocomposites with high structural stability for sensitive detection of methyl parathion,Li H.; Su C.; Si J.; Sun C.; Lu G.; Yan X.,2024,Sensors and Actuators B: Chemical,Article,0,,,,
47,Secured delivery of basic fibroblast growth factor using human serum albumin-based protein nanoparticles for enhanced wound healing and regeneration,Son B.; Kim M.; Won H.; Jung A.; Kim J.; Koo Y.; Lee N.K.; Baek S.-H.; Han U.; Park C.G.; Shin H.; Gweon B.; Joo J.; Park H.H.,2023,Journal of Nanobiotechnology,Article,0,,,,
48,Output-Feedback Proportional-Type Positioning Technique for Servo Systems via Speed-Loop Adaptation Mechanism,Kim S.-K.; Ahn C.K.,2023,IEEE Transactions on Circuits and Systems II: Express Briefs,Article,0,,,,
49,Optical pH Monitoring in Microdroplet Platforms for Live Cell Experiments Using Colloidal Surfactants,Lin X.; Qiu W.; Bayer S.; Nagl S.,2023,Methods in Molecular Biology,Book chapter,0,,,,
50,Load Frequency Analysis Using Optimal Virtual Inertia and SMES Considering A Random Load,Chowdhury T.A.; Dhar A.; Alam M.S.; Al-Ismail F.S.; Ullah M.A.,2023,"3rd International Conference on Electrical, Computer and Communication Engineering, ECCE 2023",Conference paper,0,,,,
51,Dual-emitting polyfluorene derivatives nanoparticles coupling bifunctional coreaction promoter Ag nanoparticles for ratiometric electrochemiluminescence bioanalysis,Guo Q.; Zhao J.; He Y.; Tan X.; Yuan R.; Chen S.,2023,Sensors and Actuators B: Chemical,Article,2,,,,
52,Formation of particulate lipid lyotropic liquid crystalline nanocarriers using a microfluidic platform,Yu H.; Dyett B.P.; Zhai J.; Strachan J.B.; Drummond C.J.; Conn C.E.,2023,Journal of Colloid and Interface Science,Article,2,,,,
53,Inside the Bell Jar of Social Media: A Descriptive Study Assessing YouTube Coverage of Psychotropic Medication Adherence,Jawed A.; Zaim N.,2023,International Journal of Environmental Research and Public Health,Article,0,,,,
54,A green catalytic reaction system for the synthesis 5-amino-1-pentanol with furfural and ionic liquid hydroxylamine salt as the initial raw material,Zhang S.; Zheng J.; Li Z.; Ding X.; Wang Y.,2023,Molecular Catalysis,Article,0,,,,
55,Dry- down probe free qPCR for detection of KFD in resource limited settings,Yadav P.; Sharma S.; Dash P.K.; Dhankher S.; Sandhya V.K.; Kiran S.K.,2023,PLoS ONE,Article,0,,,,
56,A potential platform of combining sialic acid derivative-modified paclitaxel cationic liposomes with antibody-drug conjugates inspires robust tumor-specific immunological memory in solid tumors,Sun W.; Li Y.; Sui D.; Qi Z.; Zhao X.; Zhou W.; Hu H.; Liu X.; Song Y.; Deng Y.,2023,Biomaterials Science,Article,0,,,,
57,Study on Fuzzy PID Control Characteristics of Gun Vertical Stabilizer Load Simulation System,Zhang H.; Ji Y.; Li H.,2023,Proceedings of SPIE - The International Society for Optical Engineering,Conference paper,0,,,,
58,"G-quadruplex-mediated specific recognition, stabilization and transcriptional repression of bcl-2 by small molecule",Pandya N.; Singh M.; Rani R.; Kumar V.; Kumar A.,2023,Archives of Biochemistry and Biophysics,Article,2,,,,
59,Facile Technology for Extemporaneous Preparation of Long-Acting Injectable Microparticulate Suspensions at the Patient Side,Shevade S.S.; Rustomjee M.T.; Devarajan P.V.,2023,AAPS PharmSciTech,Article,1,,,,
60,A signal on-off strategy based on the digestion of DNA cubes assisted by the CRISPR-Cas12a system for ultrasensitive HBV detection in solid-state nanopores,Wang J.; Luo L.; Li Y.; Chen L.; Gui C.; Zhu J.; Li H.; Wang W.; Chen D.,2022,Analyst,Article,4,,,,
61,High performance anion exchange chromatographic and colorimetric methods for quality assessment of total and free polysaccharide content in Haemophilus influenzae type b conjugate vaccine containing lactose,Hussein A.R.; Rezk M.R.; Fathalla F.A.A.; El-Saharty Y.S.; Nadim A.H.,2022,Analytical Methods,Article,0,,,,
62,"Three Actinobacterial Isolates from Western Ghats of Kerala, India: Genome Mining for Their Bioative Potential",Sugathan S.; Valsala G.; Salim S.,2023,"Microbial Biodiversity, Biotechnology and Ecosystem Sustainability",Book chapter,0,,,,
63,Performance of Planar Floquet Codes with Majorana-Based Qubits,Paetznick A.; Knapp C.; Delfosse N.; Bauer B.; Haah J.; Hastings M.B.; Da Silva M.P.,2023,PRX Quantum,Article,4,,,,
64,Carbon Nanotube (CNT) Based Electrothermal Ice Protection System Flight Tests,Hein B.; Botura G.; Hamman M.; Slane C.,2023,SAE Technical Papers,Conference paper,0,,,,
65,Travoprost Liquid Nanocrystals: An Innovative Armamentarium for Effective Glaucoma Therapy,El-Gendy M.A.; Mansour M.; El-Assal M.I.A.; Ishak R.A.H.; Mortada N.D.,2023,Pharmaceutics,Article,1,,,,
66,The Discrete Load Frequency Control System Using a Robust Periodic Output Feedback Controller,Kumawat H.C.; Bhadu M.; Kumar A.; Mahela O.P.; Khan B.; Anand D.; Breñosa J.,2023,Journal of Electrical and Computer Engineering,Article,0,,,,
67,Comparative Study of Control Concepts for Electrical Trimmable Horizontal Stabilizer Actuator in More Electric Aircraft,Zheng C.; Fu J.; Ma Y.; Liu J.,2023,Lecture Notes in Electrical Engineering,Conference paper,0,,,,
68,Neurobiochemical characteristics of arginine-rich peptides explain their potential therapeutic efficacy in neurodegenerative diseases,Eskandari S.; Rezayof A.; Asghari S.M.; Hashemizadeh S.,2023,Neuropeptides,Review,2,,,,
69,Control of a Novel Parallel Mechanism for the Stabilization of Unmanned Aerial Vehicles,Chamas M.H.; Amine S.; Gazo Hanna E.; Mokhiamar O.,2023,Applied Sciences (Switzerland),Article,0,,,,
70,Cellulose nanocrystals isolated from corn leaf: straightforward immobilization of silver nanoparticles as a reduction catalyst,Thach-Nguyen R.; Lam H.-H.; Phan H.-P.; Dang-Bao T.,2022,RSC Advances,Article,1,,,,
71,Oral nano-formulation improves pancreatic islets dysfunction via lymphatic transport for antidiabetic treatment,Hou L.; Peng X.; Wang R.; Wang Y.; Li H.; Zhang H.; Zhang Y.; Zhang Z.,2023,Acta Pharmaceutica Sinica B,Article,0,,,,
72,One-Step Generation of O/W/O Double Pickering Emulsions Utilizing Biocompatible Gliadin/Ethyl Cellulose Complex Particles as the Exclusive Stabilizer,Zhou F.-Z.; Xie L.-H.; Yu X.-H.; Yang X.-Q.; Yin S.-W.,2023,Journal of Agricultural and Food Chemistry,Article,0,,,,
73,X chromosome aneuploidies and schizophrenia: association analysis and phenotypic characterization,Kushima I.; Aleksic B.; Kimura H.; Nakatochi M.; Lo T.; Ikeda M.; Arai M.; Hashimoto R.; Numata S.; Okamura Y.; Obara T.; Inada T.; Ozaki N.,2022,Psychiatry and Clinical Neurosciences,Article,1,,,,
74,Sheltering Mono-P-Ligated Metal Complexes in Porous Polystyrene Monolith: Effect of Aryl Pendant Stabilizers on Catalytic Durability,Matsumoto H.; Hoshino Y.; Iwai T.; Sawamura M.; Miura Y.,2023,Chemistry - A European Journal,Article,0,,,,
75,Platform for Active Vaccine Formulation Using a Two-Mode Enhancement Mechanism of Epitope Presentation by Pickering Emulsion,Mechrez G.; Mani K.A.; Saha A.; Lachman O.; Luria N.; Molad O.; Kotliarevski L.; Zelinger E.; Smith E.; Yaakov N.; Stone D.S.; Reches M.; Dombrovsky A.,2022,ACS Applied Bio Materials,Article,0,,,,
76,Regulating the synergy coefficient of composite materials for alleviating self-discharge of supercapacitors,Jing S.; Yan X.; Xiong Y.; Li T.; Xiong J.; Hu T.; Wang Z.; Lou L.; Ge X.,2023,Journal of Energy Chemistry,Article,0,,,,
77,Recommendations of Optimal Sampling Rates for Discrete Mode POF Based Wind Integrated LFC System,Kumawat H.C.; Bhadu M.,2023,Journal of Electrical Engineering and Technology,Article,0,,,,
78,Non-Abelian braiding of graph vertices in a superconducting processor,Andersen T.I.; Lensky Y.D.; Kechedzhi K.; Drozdov I.K.; Bengtsson A.; Hong S.; Morvan A.; Mi X.; Opremcak A.; Acharya R.; Allen R.; Ansmann M.; Arute F.; Arya K.; Asfaw A.; Atalaya J.; Babbush R.; Bacon D.; Bardin J.C.; Bortoli G.; Bourassa A.; Bovaird J.; Brill L.; Broughton M.; Buckley B.B.; Buell D.A.; Burger T.; Burkett B.; Bushnell N.; Chen Z.; Chiaro B.; Chik D.; Chou C.; Cogan J.; Collins R.; Conner P.; Courtney W.; Crook A.L.; Curtin B.; Debroy D.M.; Del Toro Barba A.; Demura S.; Dunsworth A.; Eppens D.; Erickson C.; Faoro L.; Farhi E.; Fatemi R.; Ferreira V.S.; Burgos L.F.; Forati E.; Fowler A.G.; Foxen B.; Giang W.; Gidney C.; Gilboa D.; Giustina M.; Gosula R.; Dau A.G.; Gross J.A.; Habegger S.; Hamilton M.C.; Hansen M.; Harrigan M.P.; Harrington S.D.; Heu P.; Hilton J.; Hoffmann M.R.; Huang T.; Huff A.; Huggins W.J.; Ioffe L.B.; Isakov S.V.; Iveland J.; Jeffrey E.; Jiang Z.; Jones C.; Juhas P.; Kafri D.; Khattar T.; Khezri M.; Kieferová M.; Kim S.; Kitaev A.; Klimov P.V.; Klots A.R.; Korotkov A.N.; Kostritsa F.; Kreikebaum J.M.; Landhuis D.; Laptev P.; Lau K.-M.; Laws L.; Lee J.; Lee K.W.; Lester B.J.; Lill A.T.; Liu W.; Locharla A.; Lucero E.; Malone F.D.; Martin O.; McClean J.R.; McCourt T.; McEwen M.; Miao K.C.; Mieszala A.; Mohseni M.; Montazeri S.; Mount E.; Movassagh R.; Mruczkiewicz W.; Naaman O.; Neeley M.; Neill C.; Nersisyan A.; Newman M.; Ng J.H.; Nguyen A.; Nguyen M.; Niu M.Y.; O’Brien T.E.; Omonije S.; Petukhov A.; Potter R.; Pryadko L.P.; Quintana C.; Rocque C.; Rubin N.C.; Saei N.; Sank D.; Sankaragomathi K.; Satzinger K.J.; Schurkus H.F.; Schuster C.; Shearn M.J.; Shorter A.; Shutty N.; Shvarts V.; Skruzny J.; Smith W.C.; Somma R.; Sterling G.; Strain D.; Szalay M.; Torres A.; Vidal G.; Villalonga B.; Heidweiller C.V.; White T.; Woo B.W.K.; Xing C.; Yao Z.J.; Yeh P.; Yoo J.; Young G.; Zalcman A.; Zhang Y.; Zhu N.; Zobrist N.; Neven H.; Boixo S.; Megrant A.; Kelly J.; Chen Y.; Smelyanskiy V.; Kim E.-A.; Aleiner I.; Roushan P.,2023,Nature,Article,2,,,,
79,Transient Grid-synchronization Stability Analysis of Grid-tied Voltage Source Converters: Stability Region Estimation and Stabilization Control; [并网变换器的暂态同步稳定性分析：稳定域估计与镇定控制],Zhang Y.; Zhang C.; Cai X.; Qiu W.; Zhao X.,2022,Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering,Article,8,,,,
80,Revisiting carboxylic group functionalization of silica sol-gel materials,Rivas M.V.; Arenas Muñetón M.J.; Bordoni A.V.; Lombardo M.V.; Spagnuolo C.C.; Wolosiuk A.,2023,Journal of Materials Chemistry B,Review,2,,,,
81,Ultrasensitive photoelectrochemical sensing platform based on heterostructural CuO/NCDs@Au nanocomposites with the efficient photo-induced carrier separation,Zheng D.; Zheng Z.; Yang J.; Xu Y.; Ng K.-M.; Huang L.; Chen Y.; Gao W.,2022,Microchemical Journal,Article,1,,,,
82,A Stability Training Method of Legged Robots Based on Training Platforms and Reinforcement Learning with Its Simulation and Experiment,Wu W.; Gao L.; Zhang X.,2022,Micromachines,Article,1,,,,
83,Phytogenic synthesis of metallic nanoparticles: application for breast cancer nanomedicine,Banthia P.; Gambhir L.; Daga D.; Sharma A.; Kapoor N.; Agarwal R.D.; Sharma G.,2023,Vegetos,Review,1,,,,
84,"High-Quality Development Trend and Path Choice of Specialized, Sophisticated, Distinctive and Novel SMEs",Dong Z.; Li C.,2022,Frontiers of Economics in China,Article,0,,,,
85,Ultrafast Self-Healing Fiber/Matrix Composite with Single-Component Microcapsules Loaded with Cationic Catalyst,Yuan W.; Shen Y.; Wang B.; Li J.; Liu L.; Huang Y.; Hu Z.,2023,ACS Applied Polymer Materials,Article,1,,,,
86,Conformation-Stabilized Amorphous Nanocoating for Rational Design of Long-Term Thermostable Viral Vaccines,Zhang Y.; Hao H.; Lin J.; Ma Z.; Li H.; Nie Z.; Cui Y.; Guo Z.; Zhang Y.; Wang X.; Tang R.,2022,ACS Applied Materials and Interfaces,Article,3,,,,
87,Impact of Copper Stabilizer Thickness on SFCL Performance with PV-Based DC Systems Using a Multilayer Thermoelectric Model,Alafnan H.; Pei X.; Mansour D.-E.A.; Khedr M.; Song W.; Alsaleh I.; Albaker A.; Alturki M.; Zeng X.,2023,Sustainability (Switzerland),Article,1,,,,
88,Establishing a Mouse Contusion Spinal Cord Injury Model Based on a Minimally Invasive Technique,Elzat E.Y.-Y.; Fan X.; Yang Z.; Yuan Z.; Pang Y.; Feng S.,2022,Journal of Visualized Experiments,Article,3,,,,
89,"Noble metal nanoparticles (Mx = Ag, Au, Pd) decorated graphitic carbon nitride nanosheets for ultrafast catalytic reduction of anthropogenic pollutant, 4-nitrophenol",Saravanakumar K.; Priya V.S.; Balakumar V.; Prabavathi S.L.; Muthuraj V.,2022,Environmental Research,Article,18,,,,
90,Airborne Preparation of Small Gold Nanoparticles Dispersed on Mesoporous Silica for the Catalytic Oxidation of Glycerol to Dihydroxyacetone,Van Der Verren M.; Vykoukal V.; Styskalik A.; Malik A.S.; Aprile C.; Debecker D.P.,2022,ACS Applied Nano Materials,Article,2,,,,
91,Insight into the Effect of Stabilizers on Anticancer and Antibacterial Activity of AgBiS2 Nanomaterial,Joseph A.; Khatun S.; Sai Hemanth Kumar D.; Rengan A.K.; Muralidharan K.,2023,Chemistry - A European Journal,Article,1,,,,
92,Preparation and characterization of antioxidant gel foam for preventing coal spontaneous combustion,Ma L.; Fan X.; Wei G.; Sheng Y.; Liu S.; Liu X.,2023,Fuel,Article,9,,,,
93,Enhanced stability of Ni-CaO catalysts by perovskite-type stabilizer in biomass pyrolysis for hydrogen production,Yue W.; Yu Z.; Ma X.; Liu H.; Li W.,2023,Journal of Analytical and Applied Pyrolysis,Article,0,,,,
94,Analysis and suppression of low-frequency oscillation of photovoltaic cells with inertia control,Wang Z.; Yan G.; Zhao Y.; Peng J.; Wang D.; Ren S.,2023,"2023 IEEE 6th International Electrical and Energy Conference, CIEEC 2023",Conference paper,0,,,,
95,Fabrication of the CNTs/NiAl–LDH nanocomposite as a carrier of a luminescent sensor for DNA detection,Ding Q.; Li J.; Chen X.; Yin J.; Li S.; Li H.,2023,Materials Science and Engineering: B,Article,0,,,,
96,Application of thiol capped ZnS quantum dots as a fluorescence probe for determination of tetracycline residues,Mili K.; Hsine Z.; Chevalier Y.; Ledoux G.; Mlika R.,2023,Solid State Communications,Article,2,,,,
97,Electron donor-acceptor complex-catalyzed photoredox reactions mediated by DIPEA and inorganic carbonates,Zhou Q.; Sun C.G.; Liu X.; Li X.; Shao Z.; Tan K.; Shen Y.,2022,Organic Chemistry Frontiers,Article,7,,,,
98,Motion control studies of a barge mounted offshore dynamic wind turbine using gyrostabilizer,Palraj M.; Rajamanickam P.,2021,Ocean Engineering,Article,5,,,,
99,A Preliminary Study of Ankle Muscular Strategy During Single Leg Stance,Zaghlul N.S.A.; Goh S.L.; Razman R.; Karman S.; Chan C.K.,2022,IFMBE Proceedings,Conference paper,0,,,,
100,Sensitive electrochemiluminescent detection of telomerase activity based on nicking enzyme assisted signal amplification,Ye S.-Y.; Pan C.-G.; Dai Y.-H.; Liang G.-X.,2021,Microchemical Journal,Article,4,,,,
101,Nanocellulose: a promising green treasure from food wastes to available food materials,Ma T.; Hu X.; Lu S.; Liao X.; Song Y.; Hu X.,2022,Critical Reviews in Food Science and Nutrition,Review,44,,,,
102,Carotenoids biosynthesis in corynebacterium glutamicum,Martínez-Castro M.; Bahíllo E.; Martínez-Cámara S.; Barredo J.-L.,2021,The Encyclopedia of Bacteriology Research Developments,Book chapter,0,,,,
103,"Multifunctional Fluorescent Copper Nanoclusters for Ag+Sensing, Anticounterfeiting, and Blue/White Light-Emitting Diodes",Zhang C.; Shao C.; Wang J.; Li Z.; Liang M.; Wang Y.; Liu D.; Lu S.,2022,ACS Applied Nano Materials,Article,9,,,,
104,Exploring abundantly synergic effects of K-Cu supported paper catalysts using TiO2-ZrO2 mesoporous fibers as matrix towards soot efficient oxidation,Yu G.; Wang J.; Ma H.; Liu X.; Qin S.; Yang Z.; Zhang G.; Li Y.; Zhu L.,2021,Chemical Engineering Journal,Article,10,,,,
