record_id,Unnamed: 0,Title,Authors,Year,Source title,Document Type,Cited by,Abstract,Author Keywords,Affiliations,Authors with affiliations,exported_notes_1,included,asreview_ranking,,,,,,,,,
2449,2449,Pose Optimization of a Single Ball Self-Balancing Mobile Robot Based on IMU and Visual Fusion,S. Jing, Z. Ma, K. Yi, H. Li, Z. Li,2018,2018 37th Chinese Control Conference (CCC),IEEE Conferences,1,"The single ball self-balancing mobile robot is a typical multivariable, high-order, nonlinear and static instability system, IMU inertial devices are generally used to obtain attitude parameters of the system. The data errors obtained by the inertial devices will accumulate over time, and the long-term pose estimation is rather unreliable. But for some quick motion over a short period of time, inertial sensors can get very accurate estimates. Monocular cameras are often used as image real-time monitoring sensors by single ball self-balancing mobile robots. The camera's data does not accumulate errors over time, so there is essentially no drift. Therefore, camera pose estimation can effectively correct the inertial sensor error. In a fast-moving environment, the shutter-roller camera cannot capture the image clearly and there may be ghosting or overlapping of two areas too little, resulting in mismatched or unmatched conditions. So that the robot makes a wrong estimate. In this paper, the non-linear optimization method is used to fuse the IMU and monocular attitude data to obtain the optimal pose estimation of the robot. Based on the modeling of robot using Lagrange's equation method, the control of single ball robot is realized by using fuzzy PID algorithm. Experiments show that this scheme can respond quickly to the change of the attitude of the ball self-balancing robot and keep the attitude of the robot relatively stationary, so that the robot can move steadily.",Ball self-balancing robot,Attitude detection,Nonlicear optimization,Visual inertial data fusion,,"Harbin Engineering University, Harbin, China; Fujian Provincial Key Laboratory of Information Processing and Intelligent Control, Minjiang University, Fuzhou, China; Harbin Engineering University, Harbin, China; Harbin Engineering University, Harbin, China; Fujian Provincial Key Laboratory of Information Processing and Intelligent Control, Minjiang University, Fuzhou, China",,1,18,,
401,401,Hybrid State of Matter Search Algorithm and its Application to PID Controller Design for Position Control of Ball Balancer System,Khanduja N., Bhushan B.,2022,Iranian Journal of Science and Technology - Transactions of Electrical Engineering,Article,1,,,,,,1,19,,,,,,,,
510,510,Model-Based Control of a Large-Scale Ball-on-Plate System With Experimental Validation,A. Kastner, J. Inga, T. Blauth, F. Köpf, M. Flad, S. Hohmann,2019,2019 IEEE International Conference on Mechatronics (ICM),IEEE Conferences,1,"A ball-on-plate system is a widespread education-oriented laboratory experiment for automation in mechatronics. The setup combines elements of mechanical, electrical and control engineering and is an adequate setup for learning the combination of theory and practice. This paper presents an example of a workshop result on automatic control in mechatronics. The aim of the workshop is to develop and compare model-based approaches for ball position control in a given large-scale ball-on-plate system. The result includes the derivation of a non-linear state space model of the system. The equations are linearized in the center of the horizontal plate as an operating point in order to apply cascade control, linear-quadratic optimal control and PI optimal state feedback control. The algorithms are implemented on a microcontroller and tested in the experimental setup. The results show a successful control development which achieves the control goal with good performance in terms of command response.",,,"Institute of Control Systems (IRS), Karlsruhe Institute of Technology (KIT), Germany; Institute of Control Systems (IRS), Karlsruhe Institute of Technology (KIT), Germany; Institute of Control Systems (IRS), Karlsruhe Institute of Technology (KIT), Germany; Institute of Control Systems (IRS), Karlsruhe Institute of Technology (KIT), Germany; Institute of Control Systems (IRS), Karlsruhe Institute of Technology (KIT), Germany; Institute of Control Systems (IRS), Karlsruhe Institute of Technology (KIT), Germany",,1,20,,,,
392,392,Self-tuning PD2-PID controller design by using fuzzy logic for ball and beam system,Ahmadi M., Khodadadi H.,2019,Lecture Notes in Electrical Engineering,Book chapter,0,,,,,,1,21,,,,,,,,
2447,2447,Design and hardware implementation of ball & beam setup,B. Ahmad, I. Hussain,2017,2017 Fifth International Conference on Aerospace Science & Engineering (ICASE),IEEE Conferences,8,"Balancing a ball on beam is the classic control problem just like inverted pendulum. Undergraduate students are used to develop the mathematical models of such classic control problems. In this project we theoretically design the PID controller and implement it on a very cheap and cost effective hardware. PID controller for this project is a dedicated design and implementation of a system which balances a ball at a particular point on a beam using a PID controller. The ball is free to move on the beam in any direction due to force of gravity. Here, the PID controller set the angle of the beam to make sure that the ball gets stable at our specified set point by eradicating the error between the current position and the reference point. The whole system could be implement by employing a servo motor, an ultrasonic distance sensor, a microcontroller and a support assembly. We used “MATLAB R2013a” to draw the theoretical response of multiple controller and “Arduino 1.6.8” to draw the real time response of ball & beam setup. This system is prior edge towards correlating our theoretical concepts with real time experimental environment and helps towards sophisticated system in grasping and development.",Ball & Beam Setup,Hardware Ball & Beam,PID Controller Design,,"Dept. of Electrical Engineering, University of Engineering and Technology, Lahore Lahore, Pakistan; Dept. of Electrical Engineering, University of Engineering and Technology, Lahore Lahore, Pakistan",,1,22,,,,,,
2446,2446,Automatic control of ball and beam system using Particle Swarm Optimization,M. A. Rana, Z. Usman, Z. Shareef,2011,2011 IEEE 12th International Symposium on Computational Intelligence and Informatics (CINTI),IEEE Conferences,22,"Over the last few decades, many evolutionary algorithms have emerged. One such algorithm is Particle Swarm Optimization which emulates social and cognitive behavior of bird-flocks. In this paper, particle swarm optimization algorithm is presented as a robust and highly useful optimization technique to tune the gains of the PID controllers in the two feedback loops of the classic Ball and Beam Control System. As the name implies, Ball and Beam control system tends to balance a ball on a particular position on the beam as defined by the user. Various trials of the algorithm with varying parameters is implemented on the control system and the fitness of the response of the system to a unit step input is used as a criterion for judging the most optimal solution. A slight variation in the fitness value function is also introduced, rather than using conventional performance integrals as a criterion. Furthermore, the results from PSO tuning are quantitatively compared to ITAE equations method of PID tuning and Fuzzy-logic controller to reach a conclusion on the most efficient controlling technique.",Particle Swarm optimization,Ball and Beam system,fitness function,ITAE equations,Fuzzy-logic controller,,"Department of Electrical Engineering, Lahore University of Management Sciences, Lahore, Pakistan; Department of Electrical Engineering, Lahore University of Management Sciences, Lahore, Pakistan; Department of Electrical Engineering, Lahore University of Management Sciences, Lahore, Pakistan",,1,23,,,
394,394,Comparative Performance Analysis of Mamdani and Sugeno Fuzzy Controller using Application on 2DoF Ball Balancer System,Nikita N., Bhushan B., Chaudhary A.,2023,"2023 International Conference on Power, Instrumentation, Energy and Control, PIECON 2023",Conference paper,0,,,,,,1,24,,,,,,,
2452,2452,Ball On The Plate Model based on PID tuning methods,N. Aphiratsakun, N. Otaryan,2016,"2016 13th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)",IEEE Conferences,3,"Controller design is one of the important steps during the modelling of various systems, starting with constructing an electric kettle to an aircraft system. To achieve a good controller it is needed to define suitable values for the controller coefficients. This paper describes the research practices of the tuning technique by using MATLAB/Simulink compared with manually PID tuning based on the trial and error process, as well as, PID tuning methods from Ziegler-Nichols and Tyreus-Luyben (closed-loop proportional gain control or P-Control tests). The paper can be useful for readers who want to have a basic knowledge of research assignments based on PID tuning.",,,"Narong Aphiratsakun with Faculty of Mechatronics Engineering, Assumption University, Thailand; Nane Otaryan with Faculty of Computer Sciences, Clausthal University of Technology, Germany",,1,25,,,,,,,,
390,390,Minimum ISE Fractional-order PID (FOPID) Controller for Ball and Beam Mechanism,Tajjudin M., Johari S.N.H., Aziz S.A., Adnan R.,2019,"ICSGRC 2019 - 2019 IEEE 10th Control and System Graduate Research Colloquium, Proceeding",Conference paper,1,,,,,,1,26,,,,,,
2457,2457,PID Control of Nonlinear Systems,L. Wang,2020,PID Control System Design and Automatic Tuning using MATLAB/Simulink,Wiley-IEEE Press eBook Chapters,0,"This chapter introduces linearization of nonlinear models through several examples. It also shows how to apply the proportional integral derivative (PID) controllers to a nonlinear plant using the technique called gain scheduled control. The starting point of designing a PID controller for a nonlinear plant is to obtain a linear time invariant model through linearization around the chosen operating conditions of the system. The purpose of linearization is to find a linear function (a set of linear functions) to describe the dynamics of the nonlinear model at a given operating condition. In order to understand how the linearization is performed, the chapter examines the case of linearization of a nonlinear function. It then presents a case study based on a final year project performed by Mr John Lee. As part of the project, a prototype of a ball and plate balancing system was built and PID control systems were designed for this self‐made system.",,,,,1,27,,,,,,,,,
389,389,Stability Control Investigation of a Self-Balancing Platform on the Robot Smart Car Using Navigation Parameters,Adel Aziz G.,2020,IOP Conference Series: Materials Science and Engineering,Conference paper,2,,,,,,1,28,,,,,,,,,
2455,2455,Physical modeling and control of self-balancing platform on a cart,G. Madhumitha, R. Srividhya, J. Johnson, D. Annamalai,2016,2016 International Conference on Robotics: Current Trends and Future Challenges (RCTFC),IEEE Conferences,1,"This paper demonstrates a self-balancing platform with 2-degrees of freedom on a cart which is generally treated as inverted pendulum for simplicity. The system can be used in various transportation devices, delivery and stabilization systems and is particularly suitable for working in outdoor where the surface of ground is not flat or structured. The platform can freely rotate with the help of a ball and socket joint at its center. Lateral and longitudinal movements are controlled by two servomotors for each axis. As the cart moves on slope or on a rough terrain, the instantaneous tilt of the platform is measured by a gyroscope assembly which is compared with the desired orientation of the platform and can take corrective measure for platform up to 5 degrees in both axes. In this paper, physical modeling method is used for rapid simulation of system and mathematical relationship between platform tilt with respect to servomotor's rotation angle is developed. Proportional-integral-derivative (PID) controller is used for desired smooth operation and jerk attenuated balance of the platform. Comparative study of performance of the system for the physical model developed and the one that is implemented is made.",inverted pendulum,physical modeling,PID,mobile robot,,"Department of Mechatronics Engineering, SRM University, Chennai, India; Department of Mechatronics Engineering, SRM University, Chennai, India; Department of Mechatronics Engineering, SRM University, Chennai, India; Department of Mechatronics Engineering, SRM University, Chennai, India",,1,29,,,
593,593,LMI Based Robust H2 Control of a Ball Balancing Robot with Omni-wheels,F. H. B. Lima, E. Poleze, G. P. das Neves, B. A. Angélico,2019,2019 18th European Control Conference (ECC),IEEE Conferences,1,"Ball Balancing Robots (BBRs) balance themselves on a sphere. With trajectory planning, they could move towards every direction in the horizontal plane. This work gathers construction aspects, modeling and robust H2 control applied to a BBR built in laboratory. Modeling a BBR is complex because the system is under-actuated and the motors are not aligned to any coordinates system, requiring torques transformations. The robust H2 control was designed via LMI formulation. Practical results are presented in order to validate de controller.",,,"Dept. of Telecommunications and Control Eng., Escola Politécnica da USP, São Paulo, Brazil; Dept. of Telecommunications and Control Eng., Escola Politécnica da USP, São Paulo, Brazil; Dept. of Telecommunications and Control Eng., Escola Politécnica da USP, São Paulo, Brazil; Dept. of Telecommunications and Control Eng., Escola Politécnica da USP, São Paulo, Brazil",,1,30,,,,,,
500,500,Robotic Manipulator Control Using PD-type Fuzzy Iterative Learning Control,A. Norouzi, C. R. Koch,2019,2019 IEEE Canadian Conference of Electrical and Computer Engineering (CCECE),IEEE Conferences,9,"In this paper, a single arm planar manipulator robot with a moving platform is controlled based on PD-type Fuzzy Iterative Learning Control (ILC). The manipulator robot is modeled based on the Euler Lagrange equation, and the Multi-Input-Multi-Output (MIMO) nonlinear model is obtained for simulation. The DC motor torque and horizontal force for moving platform are system inputs, and position of the moving platform and robot arm are system outputs. The linearized state-space linear model of the robot is obtained for analyzing stability and convergence of proposed controller. The results of comparing the proposed PD-type fuzzy ILC controller to P-type, PD-type, and P-type Fuzzy ILC illustrate fast and accurate reference tracking the performance of this proposed controller.",Learning Control,Iterative Learning Control,PD-type ILC Control,Fuzzy Logic Control,Robotic Manipulator,,"Dept. of Mechanical Engineering, University of Alberta, Edmonton, Canada; Dept. of Mechanical Engineering, University of Alberta, Edmonton, Canada",,1,31,,,,
386,386,Adaptive control using stochastic approach for unknown but bounded disturbances and its application in balancing control,Singh R., Bhushan B.,2022,Asian Journal of Control,Article,2,,,,,,1,32,,,,,,,,
655,655,Low Cost Mobile Inverted Pendulum Using Kalman Filter with Fuzzy Based PID Controller,J. G, U. B, V. S, D. V, A. F. J, S. S,2022,"2022 International Conference on Power, Energy, Control and Transmission Systems (ICPECTS)",IEEE Conferences,0,"In the “Mobile Inverted Pendulum (MIP),” the robot with two-wheels can move front and back in a horizontal path and take the role of the cart in the basic inverted pendulum system. The usage of expensive sensors, like the SCC2130-D08-05 Murata, is a flaw in the current system. Our work includes modeling the MIP's State Space equation and utilizing MATLAB to examine the system's observability and controllability. To estimate the angular position of the MIP, a combination gyro sensor, accelerometer sensor along with Kalman filter is developed thereby reducing the cost of the model. PID controllers with FUZZY tuning are used in the proposed system. The MIP is stabilized using the PID. The PID gain settings in this case are tuned using a fuzzy method.",Mobile inverted pendulum,Kalman filter,PID Controllers and Fuzzy Algorithms,,"Department of Instrumentation and Control Engineering, Sri Sairam Engineering college; Department of Instrumentation and Control Engineering, Sri Sairam Engineering college; Department of Electronics and Communication Engineering, RMK Engineering college; Department of Instrumentation and Control Engineering, Sri Sairam Engineering college; Department of Instrumentation and Control Engineering, Sri Sairam Engineering college; Department of Instrumentation and Control Engineering, Sri Sairam Engineering college",,1,33,,
640,640,Synergetic Control of the Mobile Self-Balanced Robot,S. Podvalny, E. Vasiljev,2019,2019 XXI International Conference Complex Systems: Control and Modeling Problems (CSCMP),IEEE Conferences,0,"This article is devoted to an automatic motion control of the mobile self-balanced robot installed on a two-wheeled gyroscopic platform. The traditional solution of this task is to generate the control action for the engines of the wheels that would combine the stabilization process of horizontal position of the platform and its movement along the preset trajectory. Generally, when the frequency division or phase separation of these processes is impossible, then the position control and control of robot's motion interfere and exert the mutual perturbating effect. This influence is caused by kinematic and dynamic interrelations of coordinates of the mechanical system which is balancing freely on the mobile axis: any attempt to start movement or to deviate from the uniform rectilinear motion is accompanied inevitably with the deviation of the robot's longitudinal axis whereas any inclination of the platform leads to the emergence of the torques which move the platform on the surface of rolling. Any intention to suppress the internal interdependence of the coordinates of the system leads to further complication of control algorithms which requires considerable energy resources, viz., the overestimated power of engines and the capacities of storage batteries. To eliminate these fundamental shortcomings the synergetic approach is offered realizing the control of the considered system, i.e. to enter an additional minor operating influence - the position of the center of mass of a system. Working off this influence is carried out by the intrinsic kinematic and dynamic interrelations of the coordinates of a platform. As a result the system movement arises providing the matched solution for both the stabilization of the platform position and its coplanar motion. The two-member return pendulum kinematic scheme with the slowed-down hinge between the links was used for simulation and implementation of this control mode. The motion of the system's center of mass is realized in the form of angular deviation of the top link of a pendulum to the required angle. The mathematical model was built on the basis of the Lagrange's equations for kinetic energy of a system in the generalized coordinates in the form of two nonlinear differential equations of the second order. The center of masses position is entered to these equations in the form of a parameter. Indistinct regulators for each channel of regulation are synthesized and the operability test results of the offered automatic motion control are presented.",synergetic control,mobile robots,motion control of masses center,,"Voronezh State Technical University, Voronezh, Russia; Voronezh State Technical University, Voronezh, Russia",,1,34,,,,,,
